proteinID,ClusterID,ClusterColor,19_16,21_23,23_23,25_23,27_23,29_23,31_23,21_29,23_29,25_29,27_29,29_29,31_29
CHOYP_ACT.23.27.m.58454,2,black,234.6437,134.8912,110.9911,196.87485,99.3946,249.49095,264.21735,0.1,102.60505,250.12515,115.95735,261.9099,0.1
CHOYP_ACT.5.27.m.15585,1,darkslategray1,0.1,563.3507,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_ACT.6.27.m.15622,1,darkslategray1,0.1,0.1,0.1,334.28085,0.1,0.1,425.9015,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_ADD.2.5.m.15081,1,darkslategray1,40.4882,54.35015,52.62515,26.1089,21.976,27.22665,0.1,0.1,29.82895,37.06315,0.1,0.1,28.48965
CHOYP_ADD.3.5.m.17639,2,black,37.0095,0.1,0.1,28.22865,51.82455,54.7064,61.4296,55.1362,28.76405,28.7659,62.20875,66.3303,54.03245
CHOYP_AMACR.1.1.m.21950,1,darkslategray1,4.3694,4.20995,2.8293,4.49045,2.9969,4.74745,1.98755,1.52875,0.1,3.5355,0.1,0.1,2.9257
CHOYP_AN13B.1.1.m.15287,1,darkslategray1,0.1,0.9314,3.56005,0.968,2.8124,1.0637,1.2663,0.1,2.01535,0.1,1.9394,0.1,0.1
CHOYP_ANK3.7.9.m.43272,1,darkslategray1,0.1,0.7483,0.7608,0.1,5.75935,1.0005,0.1,0.6237,0.1,0.1,0.1,0.1,0.1
CHOYP_ANM12.1.1.m.53881,1,darkslategray1,0.1,0.1,2.02325,4.0957,2.0784,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_ANT_25430.1.2.m.613,1,darkslategray1,0.1,4.04325,8.08825,4.25055,2.1706,0.1,0.1,0.1,2.3238,2.607,0.1,0.1,0.1
CHOYP_AOF.1.1.m.7109,1,darkslategray1,0.1,1.06985,2.13665,0.1,0.1,3.4874,2.8647,0.1,0.1,0.1,1.16925,0.1,0.1
CHOYP_ARB_02478.1.1.m.29725,1,darkslategray1,0.1,0.1,3.90255,12.2705,15.484,9.852,6.67525,0.1,1.13945,0.1,4.25185,4.43195,0.1
CHOYP_ATRP.1.1.m.22451,1,darkslategray1,0.1,4.9142,4.87295,5.0907,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_B3GT2.1.1.m.35771,1,darkslategray1,0.1,0.1,0.1,1.5486,1.61485,0.1,2.0399,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_BET1L.1.1.m.8210,1,darkslategray1,9.232,4.50885,8.95955,4.84955,9.4903,0.1,0.1,0.1,5.05235,5.62035,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_106560.13.14.m.62781,1,darkslategray1,35.1007,20.5765,5.9625,1.5775,0.1,1.6915,10.13235,17.0815,1.70365,1.89145,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_113696.1.1.m.54166,1,darkslategray1,0.1,1.2852,0.1,1.3365,2.6423,0.1,1.75825,0.1,0.1,0.1,0.1,1.4531,0.1
CHOYP_BRAFLDRAFT_114350.1.1.m.14176,1,darkslategray1,8.0552,9.30895,6.2099,3.3985,9.87605,0.1,2.18555,6.5528,7.0771,0.1,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_118602.3.5.m.19626,2,black,0.1,0.1,0.1,0.1,0.1,5.61615,0.1,0.1,0.1,0.1,5.36125,11.25485,20.2012
CHOYP_BRAFLDRAFT_118867.1.1.m.27944,2,black,0.1,0.9616,2.7736,1.0362,1.96725,2.09065,1.30795,0.1,0.1,0.1,0.1,3.1263,3.76325
CHOYP_BRAFLDRAFT_119209.1.1.m.4850,1,darkslategray1,3.82575,12.2975,1.3049,2.7041,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_121667.1.2.m.12193,1,darkslategray1,28.7416,26.1511,17.0209,21.2059,23.02885,1.7672,0.1,12.99235,0.1,0.1,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_122339.1.1.m.58748,1,darkslategray1,9.3279,9.00275,3.10965,0.1,0.1,3.3976,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_125862.1.1.m.27159,1,darkslategray1,31.69535,23.90425,10.69795,16.87195,14.16465,15.0267,3.65895,19.61785,10.5357,16.7101,8.72715,0.1,0.1
CHOYP_BRAFLDRAFT_126750.1.1.m.40768,2,black,0.1,0.1,0.1,2.3538,0.1,0.1,0.1,0.1,4.86905,2.72375,14.04495,0.1,4.42105
CHOYP_BRAFLDRAFT_127065.5.7.m.28848,1,darkslategray1,7.2172,41.7234,28.0627,25.77505,16.72425,2.0444,0.1,27.53995,15.91455,2.22735,0.1,0.1,0.1
