protein_ID,ClusterID,ClusterColor,X19_16,X21_23,X21_29,X23_23,X23_29,X25_23,X25_29,X27_23,X27_29,X29_23,X29_29,X31_23,X31_29
CHOYP_AAEL_AAEL001706.1.1.m.43821,2,green,15.9918,20.5274,10.83735,15.4391,17.4764,16.2009,19.40905,5.4331,0.1,0.1,0.1,21.20695,10.792
CHOYP_ACA1_091870.1.1.m.43726,5,darkslategray1,18.4574,12.70095,16.0859,12.8329,14.531,10.8681,12.7637,8.3213,0.1,0.1,0.1,10.5025,5.26175
CHOYP_ACT.6.27.m.15622,2,green,0.1,0.1,0.1,0.1,0.1,334.28085,0.1,0.1,0.1,0.1,0.1,425.9015,0.1
CHOYP_ADA.1.1.m.5625,1,black,0.1,0.1,0.1,2.74275,3.1053,5.76745,6.8714,3.00405,5.97645,7.7259,12.5181,11.29435,9.85025
CHOYP_ADA17.3.3.m.54971,2,green,0.1,0.1,0.1,0.1,3.43075,3.0882,7.3754,3.22255,0.1,0.1,0.1,6.04255,4.5577
CHOYP_ADAMTS16.1.1.m.28149,4,purple,22.82435,31.5757,30.298,32.78055,30.57065,23.27795,8.43285,10.136,1.10225,2.1651,1.13375,0.1,0.1
CHOYP_ALF.3.3.m.66837,1,black,0.1,0.1,0.1,0.1,0.1,0.1,1.9875,1.67275,5.1303,8.77845,3.5392,10.6563,8.0247
CHOYP_ALPHATUB84D.1.1.m.16562,2,green,0.1,0.1,0.1,31.2574,0.1,25.41815,8.87415,0.1,7.72515,0.1,0.1,0.1,29.25705
CHOYP_AMY.2.3.m.15473,2,green,0.1,0.1,0.1,2.00205,6.5145,2.1143,2.46955,2.0566,0.1,0.1,0.1,2.68895,2.0521
CHOYP_ARGI.1.2.m.3263,5,darkslategray1,16.58445,25.5751,6.75865,3.2268,0.1,0.1,0.1,0.1,0.1,1.83405,5.58535,0.1,9.9614
CHOYP_ATS6.3.3.m.56109,4,purple,10.28525,31.3781,29.64525,32.3559,31.98155,29.64815,9.374,3.5258,3.6266,3.7404,0.1,0.1,0.1
CHOYP_BM8F.1.2.m.3009,2,green,0.1,0.1,0.1,0.1,0.1,5.2387,18.1255,0.1,0.1,0.1,0.1,0.1,9.89475
CHOYP_BRAFLDRAFT_104488.3.3.m.2973,2,green,2.7588,5.20695,0.1,5.24465,5.9379,2.8595,6.5536,0.1,0.1,0.1,0.1,7.17505,5.3901
CHOYP_BRAFLDRAFT_118250.1.1.m.11178,3,gray50,3.75205,3.5991,11.26015,0.1,0.1,0.1,0.1,0.1,11.7041,16.10865,12.2485,0.1,0.1
CHOYP_BRAFLDRAFT_125073.1.1.m.1752,5,darkslategray1,1.7692,8.26595,8.70865,3.32865,0.1,0.1,0.1,3.5258,1.8678,5.5852,5.6525,2.3244,0.1
CHOYP_BRAFLDRAFT_127065.4.7.m.28277,4,purple,0.1,5.4047,1.9593,3.63225,6.1339,1.92325,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_127065.5.7.m.28848,5,darkslategray1,7.2172,41.7234,27.53995,28.0627,15.91455,25.77505,2.22735,16.72425,0.1,2.0444,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_129759.2.2.m.30082,5,darkslategray1,14.52235,30.68785,11.80195,2.8276,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_151236.1.1.m.30653,5,darkslategray1,50.0315,44.7542,29.06535,31.25935,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_201924.1.1.m.30855,5,darkslategray1,77.79885,48.20825,16.95745,3.5958,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_208436.4.32.m.22689,3,gray50,65.48135,42.2917,133.4708,52.40455,0.1,0.1,0.1,62.66415,53.8612,70.61395,64.92035,53.2141,50.3747
CHOYP_BRAFLDRAFT_260197.1.1.m.8081,4,purple,18.6482,12.8361,24.37635,12.9563,20.6033,29.9425,19.3773,16.5176,2.85885,0.1,0.1,17.6751,7.99785
CHOYP_BRAFLDRAFT_275787.2.2.m.62313,3,gray50,17.1435,20.676,13.11815,4.16725,0.1,4.3815,0.1,4.4141,2.3145,23.4773,26.007,0.1,10.8753
CHOYP_BRAFLDRAFT_281651.5.8.m.25278,5,darkslategray1,61.83815,63.14915,28.18255,17.8956,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_284508.1.1.m.4587,4,purple,0.1,4.6626,9.71625,4.6235,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_63471.1.1.m.25619,3,gray50,2.20835,2.12955,2.25765,0.1,4.75495,0.1,0.1,2.3117,4.5757,4.71935,2.4573,0.1,2.1843
CHOYP_BRAFLDRAFT_67226.1.1.m.38034,1,black,0.1,0.1,0.1,0.1,0.1,8.69555,5.2427,8.7603,4.5665,9.29345,9.39235,0.1,8.49975
CHOYP_BRAFLDRAFT_67261.1.2.m.16694,1,black,0.1,0.1,0.1,0.1,8.414,18.0997,18.4884,31.2563,21.49325,13.8173,11.20195,16.8643,22.78095
