protein,PC1loadings
CHOYP_1433G.2.2.m.63450,0.000903541745824965
CHOYP_AADAT.1.1.m.12672,-0.00228828813254155
CHOYP_ALF.3.3.m.66837,0.00885035619579521
CHOYP_FUT8.1.1.m.9231,-0.0110149640115456
CHOYP_FYN.1.1.m.44312,0.00104377086520929
CHOYP_G6PD.2.2.m.46923,-0.00115788363932186
CHOYP_GABPA.1.1.m.15077,0.0105197784533639
CHOYP_GACZ.1.1.m.42619,-0.00413772292423588
CHOYP_GAK.1.1.m.7017,0.00232997215282337
CHOYP_GALT2.1.1.m.54493,-0.00908713725714223
CHOYP_GAR1.1.2.m.9449,-0.00466424217008985
CHOYP_GBB.2.2.m.35274,-0.00379962234094855
CHOYP_GBLP.6.7.m.57427,0.00136791263353234
CHOYP_AMACR.1.1.m.21950,-0.0347824476034543
CHOYP_GCC2.1.1.m.17251,-0.00056385129539567
CHOYP_GCKR.1.1.m.51743,0.000332213715783182
CHOYP_GCN1L.1.1.m.1352,-0.00101779415713876
CHOYP_GCSP.1.1.m.46644,0.00025040975260418
CHOYP_GCST.1.1.m.16047,0.00180667853992519
CHOYP_GD1L1.1.1.m.11963,-0.00913272946314083
CHOYP_GDAP2.1.1.m.57049,0.00743505287363465
CHOYP_GDE.1.1.m.54948,-0.0057447677564522
CHOYP_GELS2.2.2.m.30443,0.00198132655242368
CHOYP_GEMIN5.2.2.m.59078,0.00312231148620937
CHOYP_AMDHD2.2.2.m.52160,-0.0169068697890714
CHOYP_GEPH.1.2.m.49093,-0.00437700667620124
CHOYP_GFM2.1.1.m.18396,-0.0139195670832395
CHOYP_GGPPS.1.1.m.12124,-0.000367809167768239
CHOYP_GIGA2.1.1.m.44916,0.0151947132813882
CHOYP_GIGA3.1.1.m.42774,0.0181288665470129
CHOYP_GIPC1.1.1.m.60630,0.000316537805292333
CHOYP_GIT1.1.2.m.26059,0.00388017628904976
CHOYP_GLCM.2.3.m.40511,0.0143103937638199
CHOYP_GLIPR1L1.1.1.m.41745,0.00418641172308496
CHOYP_GLO1.1.1.m.32382,-0.000724834900501102
CHOYP_AMO.1.5.m.28337,0.00825955373150233
CHOYP_GLRX3.1.1.m.63529,-0.000318355843281823
CHOYP_GMDS.1.1.m.28602,-0.00196891461646581
CHOYP_GMFB.2.2.m.54955,0.000630539664595939
CHOYP_GMPAA.1.1.m.1432,0.00169630180754654
CHOYP_GMPR2.1.1.m.63274,0.000216765073685919
CHOYP_GNAI.1.1.m.26096,0.00897519319724944
CHOYP_GNAO.1.1.m.37355,-0.00578592285350579
CHOYP_GNAQ.1.1.m.20698,-0.00961007009999536
CHOYP_GNBPB3.1.1.m.55379,0.0031822781467284
CHOYP_GNPI2.1.1.m.55897,-0.000302624509402304
CHOYP_AMO.5.5.m.66428,0.0298098499580778
CHOYP_GOGB1.1.2.m.26408,0.00588030172400107
CHOYP_GOLGA4.1.3.m.4761,0.00325853465154398
CHOYP_GPDA.1.2.m.6967,-0.00102475150343673
CHOYP_GPM6A.1.1.m.41817,0.0247958553355753
CHOYP_GPMA.1.1.m.35689,0.000708727853138118
CHOYP_GPSM2.1.1.m.58301,-0.0224713935275063
CHOYP_GPX3.1.2.m.24838,0.00726948639017373
CHOYP_GR101.3.3.m.43507,-0.00592588713806209
CHOYP_GRAP1.1.1.m.45768,0.00883206812175499
CHOYP_GRIA3.1.1.m.44173,-0.00205062072750964
CHOYP_AMRP.1.1.m.36070,-0.0122664510857467
CHOYP_GRK5.1.1.m.6617,-0.0063565011285478
CHOYP_GRM1.2.2.m.65835,-0.000261089556459048
CHOYP_GRP75.1.1.m.11678,-6.49062468701091e-05
CHOYP_GSH1.1.1.m.8927,0.010447532549952
CHOYP_GSHB.1.1.m.27512,-0.00201224668237299
CHOYP_GSK3B.1.1.m.62139,-0.00364634534178522
CHOYP_GST7.1.1.m.59335,-0.00485665986210878
CHOYP_GSTO1.1.2.m.14745,-0.0415848172401346
CHOYP_GSTO1.2.2.m.26202,-0.00260324261706217
CHOYP_GSTO2.1.1.m.36486,-0.00198792963582059
CHOYP_AMY.2.3.m.15473,-0.00594067871702766
CHOYP_GSTP1.1.2.m.29677,-0.00845852727979684
CHOYP_GSTP1.2.2.m.30099,-3.75928928008644e-05
CHOYP_GSTZ1.1.1.m.56540,0.00433272242503688
CHOYP_GTPB1.1.1.m.66453,-0.0065949105510293
CHOYP_GTR1.1.1.m.25509,-0.00076289720326428
CHOYP_GUAA.1.1.m.18809,-0.0003649923556185
CHOYP_GUAD.1.1.m.33511,-0.00137065015929365
CHOYP_GUN.2.2.m.46462,0.00501760592041769
CHOYP_GZF1.1.2.m.7747,-0.00213637176199918
CHOYP_H2AV.1.7.m.12182,-0.000851022193910449
CHOYP_AN13B.1.1.m.15287,-0.031375931513435
CHOYP_H3.1.2.m.3829,-0.00224324035669955
CHOYP_HACL1.1.1.m.6578,-0.000565509359117637
CHOYP_HBS1L.1.2.m.14311,-0.00192147675586351
CHOYP_HEAT1.1.1.m.11228,-0.00391802859609032
CHOYP_HECD1.1.1.m.27759,0.00105373293614791
CHOYP_HELZ.2.2.m.43303,-0.00409671002931403
CHOYP_HEM2.1.1.m.6789,0.00301360145503152
CHOYP_HEM3.1.1.m.28414,-0.00103929385414568
CHOYP_HERC2.1.1.m.65153,0.00690519825130579
CHOYP_HGFAC.1.1.m.5902,-0.00863039661345491
CHOYP_ANKK1.1.1.m.56194,0.0128304262738387
CHOYP_HIF1N.1.1.m.53726,0.0121152870814619
CHOYP_HINT1.1.1.m.53526,0.00246660849829141
CHOYP_HIP1.1.1.m.31791,0.0123083074372474
CHOYP_HIRA.1.1.m.19212,0.00403375217440747
CHOYP_HMBS.1.1.m.31422,-0.00216025303550597
CHOYP_HMCN1.28.44.m.47379,0.0161504161264046
CHOYP_HMCN2.10.12.m.49343,-0.00877650820502063
CHOYP_HMCN2.3.12.m.26811,-0.00583136308546288
CHOYP_HOOK3.1.1.m.14456,-0.0101930887596136
CHOYP_HPGD.1.3.m.50258,0.000418978824443126
CHOYP_ANKMY2.1.1.m.18238,0.00590730905146984
CHOYP_HPRT.1.1.m.61881,-0.000150988865650456
CHOYP_HS12A.20.33.m.55554,-0.0127895591201865
