protein_ID,ClusterID,ClusterColor,X19_16,X21_23,X21_29,X23_23,X23_29,X25_23,X25_29,X27_23,X27_29,X29_23,X29_29,X31_23,X31_29
CHOYP_ABCF2.1.2.m.28360,1,blue,7.19375,13.867,20.1213,26.1576,21.764,25.62165,16.34135,25.03595,9.50795,13.75555,4.96475,16.7147,7.1355
CHOYP_ACSS3.1.1.m.64144,1,blue,2.4458,3.9263,8.2827,5.5649,5.39485,9.19045,6.91015,5.93205,0.91345,0.9263,0.93935,4.32615,5.67835
CHOYP_AMPD2.1.2.m.1295,1,blue,2.06,2.64535,1.3984,5.3357,3.786,4.9221,6.65925,3.568,0.77485,0.7893,0.1,3.64985,0.74305
CHOYP_ASB3.1.1.m.51103,4,red,0.1,0.1,3.07115,2.97805,6.5444,6.0775,7.2231,9.1327,15.7522,6.4954,19.63175,11.85765,32.64095
CHOYP_BICRD.1.1.m.11088,2,cyan,0.9383,0.9059,0.1,0.1,0.1,0.1,0.1,0.1,0.99395,1.03435,1.0408,0.1,0.1
CHOYP_BRAFLDRAFT_103544.1.1.m.38439,4,red,0.1,0.1,5.41425,5.14945,8.6417,12.81525,12.1304,11.605,13.7248,12.30275,12.6607,12.7145,13.7985
CHOYP_BRAFLDRAFT_109340.1.1.m.30107,2,cyan,0.60365,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6325,0.66045,0.6644,0.1,0.1
CHOYP_BRAFLDRAFT_117858.3.3.m.61651,3,yellow,42.5004,45.9083,10.477,8.7348,7.01885,10.5155,9.38855,5.2524,2.72415,4.23355,2.8396,3.4207,3.8687
CHOYP_BRAFLDRAFT_123736.1.1.m.48671,1,blue,10.09105,10.33225,13.477,17.79595,19.46675,17.36895,16.06305,16.2026,12.67275,11.7055,10.4235,17.5876,12.59895
CHOYP_BRAFLDRAFT_123969.1.1.m.15145,1,blue,26.5166,40.8712,53.9122,56.58655,55.53005,62.14875,64.3135,38.14285,30.8189,17.49875,17.52645,59.83265,34.39415
CHOYP_BRAFLDRAFT_125670.1.1.m.9555,3,yellow,1.1395,0.78275,0.2151,0.20585,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2105
CHOYP_BRAFLDRAFT_283981.1.1.m.7732,1,blue,0.42335,0.4097,1.1412,1.08495,1.64495,0.8283,1.3639,1.53895,0.1,0.1,0.1,0.54635,0.4274
CHOYP_BRAFLDRAFT_63281.2.2.m.46528,1,blue,10.1685,18.1665,32.4301,26.71945,28.72275,32.49515,26.3688,27.0819,16.8617,15.89935,14.48925,17.3294,20.15225
CHOYP_CAH2.1.1.m.42306,4,red,32.88185,28.50685,40.1241,46.239,52.3501,48.6701,65.78905,62.4325,72.99425,66.3956,70.53225,67.6596,65.6129
CHOYP_CALM.42.50.m.56135,1,blue,0.1,0.1,4.97925,9.6047,5.3156,29.5596,11.78505,15.06865,0.1,0.1,0.1,0.1,9.6927
CHOYP_CALM.49.50.m.63320,2,cyan,6.32465,9.0731,0.1,0.1,0.1,0.1,0.1,0.1,3.3672,3.4165,3.46665,0.1,0.1
CHOYP_CLC10.2.5.m.4673,1,blue,0.1,0.1,6.4039,3.1444,3.5556,3.3224,3.84795,6.62945,0.1,0.1,0.1,0.1,0.1
CHOYP_contig_004572.m.5255,4,red,0.1,0.1,4.36415,8.2072,4.6323,8.62915,20.51135,30.3539,22.3658,46.2377,23.2577,39.30485,29.47545
CHOYP_contig_004705.m.5404,1,blue,0.1,3.72145,11.6484,18.4884,4.18985,7.796,9.26545,8.0361,0.1,0.1,0.1,0.1,0.1
CHOYP_contig_005590.m.6345,3,yellow,69.23995,47.26275,23.48095,19.63565,12.6798,14.6631,17.4418,14.87845,9.1787,12.6703,9.56915,15.3303,11.5101
CHOYP_contig_007115.m.8183,1,blue,0.1,1.77045,5.44125,8.61995,3.914,7.26955,6.4905,9.06225,0.1,1.966,0.1,4.72955,1.80685
CHOYP_contig_015692.m.18358,4,red,0.1,0.1,15.98705,34.2632,38.90815,52.0354,52.47595,40.3843,62.31795,68.54735,56.3286,52.14775,54.94305
CHOYP_contig_016567.m.19514,4,red,0.1,0.1,4.4401,42.10795,38.0395,127.9715,94.2578,63.0281,155.43785,104.33765,119.46445,149.413,181.18825
CHOYP_contig_024582.m.27943,3,yellow,36.67685,33.37185,4.1437,2.00045,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
