GO.ID,Term,clade1,clade2
GO:0000212,meiotic spindle organization,0.0101,NA
GO:0000290,deadenylation-dependent decapping of nuc...,0.0056,NA
GO:0003283,atrial septum development,NA,0.0324
GO:0006465,signal peptide processing,NA,0.0324
GO:0006552,leucine catabolic process,NA,0.0450
GO:0006567,threonine catabolic process,NA,0.0450
GO:0006744,ubiquinone biosynthetic process,0.0128,NA
GO:0006919,activation of cysteine-type endopeptidas...,0.0347,NA
GO:0007015,actin filament organization,NA,0.0214
GO:0007017,microtubule-based process,0.0028,NA
GO:0009268,response to pH,0.0226,NA
GO:0010881,regulation of cardiac muscle contraction...,0.0056,0.0387
GO:0014819,regulation of skeletal muscle contractio...,0.0390,NA
GO:0018243,protein O-linked glycosylation via threo...,NA,0.0324
GO:0030245,cellulose catabolic process,NA,0.0324
GO:0030903,notochord development,NA,0.0324
GO:0032757,positive regulation of interleukin-8 pro...,0.0304,NA
GO:0033292,T-tubule organization,NA,0.0324
GO:0035767,endothelial cell chemotaxis,NA,0.0324
GO:0035794,positive regulation of mitochondrial mem...,0.0128,NA
GO:0043124,negative regulation of I-kappaB kinase/N...,0.0304,NA
GO:0043312,neutrophil degranulation,0.0376,NA
GO:0043928,exonucleolytic nuclear-transcribed mRNA ...,0.0015,NA
GO:0048135,female germ-line cyst formation,NA,0.0324
GO:0051289,protein homotetramerization,0.0117,NA
GO:0051597,response to methylmercury,0.0004,NA
GO:0052548,regulation of endopeptidase activity,0.0389,NA
GO:0060307,regulation of ventricular cardiac muscle...,NA,0.0450
GO:0061052,negative regulation of cell growth invol...,NA,0.0324
GO:0061580,colon epithelial cell migration,0.0038,NA
GO:0070528,protein kinase C signaling,NA,0.0387
GO:0071051,polyadenylation-dependent snoRNA 3'-end ...,0.0038,NA
GO:0080009,mRNA methylation,0.0101,NA
GO:0086005,ventricular cardiac muscle cell action p...,NA,0.0387
GO:0086091,regulation of heart rate by cardiac cond...,NA,0.0324
GO:0098910,regulation of atrial cardiac muscle cell...,NA,0.0387
GO:1901018,positive regulation of potassium ion tra...,NA,0.0324
