GO.ID,Term,clade1,clade2,clade3,clade4,clade5
GO:0000187,activation of MAPK activity,NA,0.043,NA,NA,NA
GO:0000302,response to reactive oxygen species,NA,NA,NA,NA,0.02197
GO:0000467,exonucleolytic trimming to generate matu...,NA,NA,NA,0.0127,NA
GO:0001658,branching involved in ureteric bud morph...,NA,NA,NA,0.0252,NA
GO:0001825,blastocyst formation,0.0370,NA,NA,NA,NA
GO:0002175,protein localization to paranode region ...,0.0144,NA,NA,NA,NA
GO:0002532,production of molecular mediator involve...,NA,NA,NA,NA,0.02939
GO:0003073,regulation of systemic arterial blood pr...,NA,NA,NA,0.0417,NA
GO:0003334,keratinocyte development,NA,NA,0.0125,NA,NA
GO:0003429,growth plate cartilage chondrocyte morph...,0.0398,NA,NA,NA,NA
GO:0006000,fructose metabolic process,0.0286,NA,NA,NA,NA
GO:0006006,glucose metabolic process,NA,NA,NA,NA,0.00455
GO:0006013,mannose metabolic process,0.0258,NA,NA,NA,NA
GO:0006032,chitin catabolic process,NA,NA,NA,NA,0.04979
GO:0006096,glycolytic process,0.0063,NA,NA,NA,NA
GO:0006183,GTP biosynthetic process,NA,NA,NA,NA,0.03645
GO:0006228,UTP biosynthetic process,NA,NA,NA,NA,0.03197
GO:0006241,CTP biosynthetic process,NA,NA,NA,NA,0.04537
GO:0006525,arginine metabolic process,NA,NA,NA,NA,0.03645
GO:0006689,ganglioside catabolic process,0.0201,NA,NA,NA,NA
GO:0006740,NADPH regeneration,NA,0.030,NA,NA,NA
GO:0006971,hypotonic response,NA,NA,NA,NA,0.02293
GO:0006972,hyperosmotic response,NA,NA,NA,NA,0.03645
GO:0007016,cytoskeletal anchoring at plasma membran...,0.0342,NA,NA,NA,NA
GO:0007257,activation of JUN kinase activity,NA,0.035,NA,NA,NA
GO:0007298,border follicle cell migration,NA,NA,0.0346,NA,NA
GO:0007349,cellularization,NA,NA,0.0125,NA,NA
GO:0007395,dorsal closure, spreading of leading edg...,NA,NA,0.0125,NA,NA
GO:0007413,axonal fasciculation,0.0342,NA,NA,NA,NA
GO:0007435,salivary gland morphogenesis,NA,NA,0.0394,NA,NA
GO:0007492,endoderm development,NA,NA,NA,0.0498,NA
GO:0008090,retrograde axonal transport,NA,NA,0.0150,NA,NA
GO:0008625,extrinsic apoptotic signaling pathway vi...,NA,NA,0.0297,NA,NA
GO:0009117,nucleotide metabolic process,0.0364,NA,NA,NA,NA
GO:0009168,purine ribonucleoside monophosphate bios...,0.0423,NA,NA,NA,NA
GO:0009313,oligosaccharide catabolic process,0.0314,NA,NA,NA,NA
GO:0010642,negative regulation of platelet-derived ...,NA,NA,NA,NA,0.00072
GO:0010875,positive regulation of cholesterol efflu...,NA,0.039,NA,NA,NA
GO:0014012,peripheral nervous system axon regenerat...,NA,NA,NA,NA,0.00020
GO:0018149,peptide cross-linking,NA,NA,NA,NA,0.03645
GO:0021801,cerebral cortex radial glia guided migra...,0.0144,NA,NA,NA,NA
GO:0021846,cell proliferation in forebrain,0.0314,NA,NA,NA,NA
GO:0022008,neurogenesis,0.0325,NA,NA,NA,NA
GO:0022617,extracellular matrix disassembly,NA,NA,NA,0.0148,NA
GO:0030198,extracellular matrix organization,NA,NA,NA,NA,0.00835
GO:0030517,negative regulation of axon extension,0.0172,NA,NA,NA,NA
GO:0030574,collagen catabolic process,NA,0.035,NA,NA,NA
GO:0030913,paranodal junction assembly,0.0229,NA,NA,NA,NA
GO:0031038,myosin II filament organization,NA,NA,NA,NA,0.02746
GO:0031116,positive regulation of microtubule polym...,NA,0.049,NA,NA,NA
GO:0031156,regulation of sorocarp development,NA,NA,NA,NA,0.03197
GO:0031581,hemidesmosome assembly,NA,NA,NA,0.0127,NA
GO:0031629,synaptic vesicle fusion to presynaptic a...,NA,NA,0.0150,NA,NA
GO:0032094,response to food,NA,0.039,NA,NA,NA
GO:0032418,lysosome localization,NA,NA,0.0370,NA,NA
GO:0032438,melanosome organization,NA,NA,0.0174,NA,NA
GO:0032981,mitochondrial respiratory chain complex ...,NA,NA,NA,0.0355,NA
GO:0034199,activation of protein kinase A activity,NA,NA,NA,NA,0.02293
GO:0034334,adherens junction maintenance,NA,NA,0.0125,NA,NA
GO:0034427,nuclear-transcribed mRNA catabolic proce...,NA,NA,NA,0.0210,NA
GO:0034475,U4 snRNA 3'-end processing,NA,NA,NA,0.0148,NA
GO:0034629,cellular protein-containing complex loca...,NA,NA,0.0273,NA,NA
GO:0035006,melanization defense response,NA,NA,0.0224,NA,NA
GO:0035159,regulation of tube length, open tracheal...,NA,NA,0.0150,NA,NA
GO:0035277,spiracle morphogenesis, open tracheal sy...,NA,NA,0.0125,NA,NA
GO:0035317,imaginal disc-derived wing hair organiza...,NA,NA,0.0297,NA,NA
GO:0035582,sequestering of BMP in extracellular mat...,NA,NA,NA,NA,0.02293
GO:0035583,sequestering of TGFbeta in extracellular...,NA,NA,NA,NA,0.03645
GO:0035721,intraciliary retrograde transport,NA,NA,NA,0.0189,NA
GO:0035735,intraciliary transport involved in ciliu...,NA,NA,NA,0.0252,NA
GO:0035794,positive regulation of mitochondrial mem...,NA,NA,NA,NA,0.04092
GO:0042246,tissue regeneration,NA,NA,NA,NA,0.00577
GO:0042249,establishment of planar polarity of embr...,NA,NA,0.0125,NA,NA
GO:0042308,negative regulation of protein import in...,NA,NA,NA,NA,0.00030
GO:0042795,snRNA transcription by RNA polymerase II,NA,0.044,NA,NA,NA
GO:0043217,myelin maintenance,0.0172,NA,NA,NA,NA
GO:0043280,positive regulation of cysteine-type end...,NA,NA,NA,0.0417,NA
GO:0043507,positive regulation of JUN kinase activi...,NA,0.033,NA,NA,NA
GO:0043523,regulation of neuron apoptotic process,NA,0.048,NA,NA,NA
GO:0043928,exonucleolytic nuclear-transcribed mRNA ...,NA,NA,NA,0.0252,NA
GO:0043966,histone H3 acetylation,NA,NA,NA,0.0273,NA
GO:0045199,maintenance of epithelial cell apical/ba...,NA,NA,0.0174,NA,NA
GO:0045638,negative regulation of myeloid cell diff...,NA,NA,NA,NA,0.04786
GO:0046470,phosphatidylcholine metabolic process,NA,0.044,NA,NA,NA
GO:0046628,positive regulation of insulin receptor ...,NA,NA,NA,NA,0.03645
GO:0048012,hepatocyte growth factor receptor signal...,NA,0.025,NA,NA,NA
GO:0048050,post-embryonic eye morphogenesis,NA,NA,NA,NA,0.02746
GO:0048490,anterograde synaptic vesicle transport,NA,NA,0.0273,NA,NA
GO:0048662,negative regulation of smooth muscle cel...,NA,NA,NA,NA,0.00155
GO:0050885,neuromuscular process controlling balanc...,0.0426,NA,NA,NA,NA
GO:0051085,chaperone cofactor-dependent protein ref...,NA,NA,0.0297,NA,NA
GO:0051292,nuclear pore complex assembly,0.0201,NA,NA,NA,NA
GO:0051895,negative regulation of focal adhesion as...,NA,NA,NA,NA,0.00057
GO:0051897,positive regulation of protein kinase B ...,0.0454,NA,NA,NA,NA
GO:0060134,prepulse inhibition,0.0144,NA,NA,NA,NA
GO:0060317,cardiac epithelial to mesenchymal transi...,0.0201,NA,NA,NA,NA
GO:0061049,cell growth involved in cardiac muscle c...,NA,0.024,NA,NA,NA
GO:0061052,negative regulation of cell growth invol...,NA,0.025,NA,NA,0.02293
GO:0070208,protein heterotrimerization,0.0314,NA,NA,NA,NA
GO:0070593,dendrite self-avoidance,NA,NA,0.0125,NA,NA
GO:0071035,nuclear polyadenylation-dependent rRNA c...,NA,NA,NA,0.0127,NA
GO:0071038,nuclear polyadenylation-dependent tRNA c...,NA,NA,NA,0.0106,NA
GO:0071051,polyadenylation-dependent snoRNA 3'-end ...,NA,NA,NA,0.0106,NA
GO:0071205,protein localization to juxtaparanode re...,0.0144,NA,NA,NA,NA
GO:0071300,cellular response to retinoic acid,NA,NA,NA,0.0293,NA
GO:0071638,negative regulation of monocyte chemotac...,NA,NA,NA,NA,0.00020
GO:0072553,terminal button organization,NA,NA,0.0125,NA,NA
GO:0072734,cellular response to staurosporine,NA,0.035,NA,NA,NA
GO:0090051,negative regulation of cell migration in...,NA,0.025,NA,NA,NA
GO:0090197,positive regulation of chemokine secreti...,NA,NA,NA,NA,0.02746
GO:0090303,positive regulation of wound healing,NA,NA,0.0174,NA,NA
GO:0097352,autophagosome maturation,NA,NA,0.0224,NA,NA
GO:1900016,negative regulation of cytokine producti...,NA,NA,NA,NA,0.00030
GO:1901739,regulation of myoblast fusion,NA,NA,0.0125,NA,NA
GO:1902017,regulation of cilium assembly,NA,NA,NA,0.0013,NA
GO:1990314,cellular response to insulin-like growth...,NA,NA,NA,NA,0.03645
GO:2000300,regulation of synaptic vesicle exocytosi...,NA,NA,0.0346,NA,NA
GO:2000648,positive regulation of stem cell prolife...,NA,NA,NA,NA,0.03645
GO:2001205,negative regulation of osteoclast develo...,NA,NA,NA,NA,0.02293
GO:2001243,negative regulation of intrinsic apoptot...,NA,NA,NA,0.0437,NA
