Entry	Entry_name	Protein_names	Gene _ames	EMBL_ACC
Q0KHB6	Q0KHB6_CRAGI	Pyruvate kinase (EC 2.7.1.40)	pk	CAJ28914
Q9BIV4	Q9BIV4_CRAGI	Metallothionein		AAK15581
A4UUE3	A4UUE3_HYRCU	Tubulin A (Fragment)		ABO93628
A5LGG9	A5LGG9_CRAGI	Calreticulin	CRT	BAF63639
A5LGH0	A5LGH0_CRAGI	Uncharacterized protein		BAF63640
Q95P95	Q95P95_CRAGI	Integrin beta	IBCGH	BAB62173
B3F729	B3F729_CRAGI	IK cytokine (Fragment)		ABV24915
B3F730	B3F730_CRAGI	Sodium/potassium-transporting ATPase alpha chain (Fragment)		ABV24916
G5BSF6	G5BSF6_HETGA	Histone H4	GW7_10007	EHB12217
D5FFX0	D5FFX0_CRAGI	Coiled-coil-helix-coiled-coil-helix domain containing 3 (Fragment)		ABY27359
B7XC66	B7XC66_CRAGI	Tropomyosin	Tm-Crag	BAH10152
Q8MY76	Q8MY76_9BIVA	Se-cadherin (Fragment)	SeCad	BAC06836
Q8ITB8	Q8ITB8_ARGIR	Ribosomal protein L23a (Fragment)		AAN05592
Q8ITB4	Q8ITB4_ARGIR	Ribosomal protein L		AAN05596
C4TJC8	C4TJC8_CRAGI	Peptidoglycan recognition protein L	cgpgrp_L1 cgpgrp_L2	BAH66799
C6JUM9	C6JUM9_PINMA	40S ribosomal protein S6		ACS72283
Q8I7Z9	Q8I7Z9_CRAGI	LBP/BPI		AAN84552
Q86G98	Q86G98_CRAGI	Galectin (Fragment)	lgals4	CAD79473
A5LGG8	A5LGG8_CRAGI	Calnexin	CNX	BAF63638
F5A8D3	F5A8D3_CRAGI	FAS-associating death domain-containing protein		AEB54797
F5A8D7	F5A8D7_CRAGI	Caspase-1		AEB54801
Q5K6R9	Q5K6R9_CRAGI	Metalloendopeptidase (EC 3.4.24.-) (Fragment)		AAQ13464
J7FBH7	J7FBH7_CRAGI	Ubiquitin/ribosomal protein S27		AFI80900
K1QSE3	K1QSE3_CRAGI	Protein-glutamine gamma-glutamyltransferase K	CGI_10001530	EKC24521
K1PEV9	K1PEV9_CRAGI	2,4-dienoyl-CoA reductase, mitochondrial	CGI_10000954	EKC17379
K1PEY7	K1PEY7_CRAGI	Uncharacterized protein	CGI_10000903	EKC17404
K1Q7Q8	K1Q7Q8_CRAGI	Natterin-1	CGI_10000854	EKC17431
K1P7J7	K1P7J7_CRAGI	Laminin subunit beta-2	CGI_10000616	EKC17533
K1PFH4	K1PFH4_CRAGI	Talin-2	CGI_10000591	EKC17554
K1PMC9	K1PMC9_CRAGI	Uncharacterized protein	CGI_10000492	EKC17600
K1PMI0	K1PMI0_CRAGI	Charged multivesicular body protein 4b	CGI_10000381	EKC17665
K1Q8Q8	K1Q8Q8_CRAGI	Tetraspanin	CGI_10000273	EKC17741
K1Q8Z9	K1Q8Z9_CRAGI	Uncharacterized protein	CGI_10000134	EKC17841
K1PG58	K1PG58_CRAGI	Barrier-to-autointegration factor	CGI_10000082	EKC17884
K1PGE6	K1PGE6_CRAGI	Centrosomal protein of 72 kDa	CGI_10017719	EKC17979
K1Q9E6	K1Q9E6_CRAGI	Serine/arginine repetitive matrix protein 2	CGI_10016766	EKC18006
K1P9D0	K1P9D0_CRAGI	Stress-70 protein, mitochondrial	CGI_10016162	EKC18038
K1PGV8	K1PGV8_CRAGI	Nucleoprotein TPR	CGI_10015574	EKC18084
K1PGZ1	K1PGZ1_CRAGI	Uncharacterized protein	CGI_10015025	EKC18134
K1P9T4	K1P9T4_CRAGI	FYN-binding protein	CGI_10014662	EKC18173
K1PH80	K1PH80_CRAGI	Cation-dependent mannose-6-phosphate receptor	CGI_10014117	EKC18244
K1PHD3	K1PHD3_CRAGI	Uncharacterized protein	CGI_10013719	EKC18304
K1P3L8	K1P3L8_CRAGI	Amino acid transporter	CGI_10013151	EKC18347.1
K1QA63	K1QA63_CRAGI	GSK3-beta interaction protein	CGI_10013109	EKC18371
K1PHK6	K1PHK6_CRAGI	Uncharacterized protein	CGI_10012758	EKC18394
K1PAI4	K1PAI4_CRAGI	Sperm-associated antigen 7-like protein	CGI_10012418	EKC18443
K1PPX2	K1PPX2_CRAGI	Uncharacterized protein	CGI_10012368	EKC18470
K1QAH5	K1QAH5_CRAGI	Integrin beta	CGI_10012180	EKC18491
K1P455	K1P455_CRAGI	Integrin beta-6	CGI_10012181	EKC18492
K1PHZ2	K1PHZ2_CRAGI	Uncharacterized protein yieF	CGI_10012025	EKC18514
K1PI27	K1PI27_CRAGI	SURF1-like protein	CGI_10011974	EKC18529
K1QAM7	K1QAM7_CRAGI	Copine-7	CGI_10011899	EKC18536
K1PI43	K1PI43_CRAGI	Uncharacterized protein	CGI_10011903	EKC18539
K1QAR9	K1QAR9_CRAGI	Fermitin family-like protein 2	CGI_10011808	EKC18561
K1PQD4	K1PQD4_CRAGI	Phosphoglucomutase-1	CGI_10011818	EKC18570
K1P4Q0	K1P4Q0_CRAGI	Uncharacterized protein	CGI_10011730	EKC18602
K1QAX6	K1QAX6_CRAGI	Allene oxide synthase-lipoxygenase protein	CGI_10011579	EKC18656
K1PIH2	K1PIH2_CRAGI	V-type proton ATPase subunit E	CGI_10011587	EKC18664
K1PIK4	K1PIK4_CRAGI	Vascular endothelial growth factor D	CGI_10011420	EKC18709
K1QB18	K1QB18_CRAGI	Uncharacterized protein	CGI_10011395	EKC18721
K1P509	K1P509_CRAGI	JmjC domain-containing protein 5 (Jumonji-C domain-containing protein Jumonji5)	CGI_10011396	EKC18722
K1QB39	K1QB39_CRAGI	Golgin subfamily A member 5	CGI_10011128	EKC18746
K1QB61	K1QB61_CRAGI	Protocadherin Fat 4	CGI_10011029	EKC18771
K1PQS1	K1PQS1_CRAGI	GPI inositol-deacylase (EC 3.1.-.-)	CGI_10011037	EKC18775
K1P5A8	K1P5A8_CRAGI	Uncharacterized protein	CGI_10010851	EKC18822
K1PIU5	K1PIU5_CRAGI	Protein quiver	CGI_10010859	EKC18829
K1PQY0	K1PQY0_CRAGI	Protein quiver	CGI_10010860	EKC18830
K1PQZ3	K1PQZ3_CRAGI	Armadillo repeat-containing protein 4	CGI_10010784	EKC18845
K1QBE2	K1QBE2_CRAGI	Syntaxin-5	CGI_10010550	EKC18861
K1PBN1	K1PBN1_CRAGI	Phospholipase (EC 3.1.4.4)	CGI_10010622	EKC18898
K1PR44	K1PR44_CRAGI	Phospholipase A2 inhibitor subunit B	CGI_10010624	EKC18900
K1QBN6	K1QBN6_CRAGI	Caltractin	CGI_10010406	EKC18931
K1PRB1	K1PRB1_CRAGI	EF-hand domain-containing protein D2	CGI_10010299	EKC18955
K1P5V7	K1P5V7_CRAGI	Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8)	CGI_10010150	EKC18987
K1PRF2	K1PRF2_CRAGI	Serine protease inhibitor dipetalogastin	CGI_10010153	EKC18990
K1PRG1	K1PRG1_CRAGI	45 kDa calcium-binding protein	CGI_10010158	EKC18995
K1P5Z3	K1P5Z3_CRAGI	Lysosomal aspartic protease	CGI_10009991	EKC19012
K1PRK2	K1PRK2_CRAGI	Small glutamine-rich tetratricopeptide repeat-containing protein beta	CGI_10009974	EKC19030
K1P618	K1P618_CRAGI	Neuronal calcium sensor 2	CGI_10009976	EKC19032
K1PJH4	K1PJH4_CRAGI	Homeobox protein SIX1	CGI_10009922	EKC19049
K1QC81	K1QC81_CRAGI	Dynein intermediate chain 2, ciliary	CGI_10009931	EKC19056
K1PJM5	K1PJM5_CRAGI	Protein TFG	CGI_10009756	EKC19069
K1QCA7	K1QCA7_CRAGI	Valyl-tRNA synthetase	CGI_10009641	EKC19096
K1P6B3	K1P6B3_CRAGI	Endoplasmic reticulum resident protein ERp44	CGI_10009642	EKC19097
K1PRS8	K1PRS8_CRAGI	Putative adenylate kinase-like protein C9orf98-like protein	CGI_10009645	EKC19100
K1PRV2	K1PRV2_CRAGI	Threonine synthase-like 1	CGI_10009616	EKC19145
K1P6H2	K1P6H2_CRAGI	Uncharacterized protein	CGI_10009262	EKC19192
K1QCJ2	K1QCJ2_CRAGI	UPF0638 protein B	CGI_10009117	EKC19236
K1PCK5	K1PCK5_CRAGI	Protein G7c	CGI_10009100	EKC19248
K1PCM9	K1PCM9_CRAGI	Leucine-rich repeat flightless-interacting protein 2	CGI_10009002	EKC19278
K1P6P1	K1P6P1_CRAGI	Amidase	CGI_10008898	EKC19297
K1P6Q5	K1P6Q5_CRAGI	Prefoldin subunit 1	CGI_10008941	EKC19317
K1PCR5	K1PCR5_CRAGI	KH domain-containing, RNA-binding, signal transduction-associated protein 2	CGI_10008942	EKC19318
K1PCR9	K1PCR9_CRAGI	Proteasome endopeptidase complex (EC 3.4.25.1)	CGI_10008810	EKC19323
K1QCU0	K1QCU0_CRAGI	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Eukaryotic translation initiation factor 3 subunit 4)	CGI_10008836	EKC19336
K1QCU9	K1QCU9_CRAGI	Tubulin beta chain	CGI_10008567	EKC19346
K1PSD0	K1PSD0_CRAGI	Uncharacterized protein	CGI_10008571	EKC19350
K1PCV7	K1PCV7_CRAGI	T-complex protein 11-like protein 1	CGI_10008686	EKC19363
K1QCX0	K1QCX0_CRAGI	V-type proton ATPase subunit F	CGI_10008695	EKC19371
K1QCY0	K1QCY0_CRAGI	Serine hydroxymethyltransferase (EC 2.1.2.1)	CGI_10008707	EKC19381
K1PD11	K1PD11_CRAGI	Serine dehydratase-like protein	CGI_10008600	EKC19408
K1QD45	K1QD45_CRAGI	CAP-Gly domain-containing linker protein 1	CGI_10008468	EKC19436
K1PSR5	K1PSR5_CRAGI	Fatty acid-binding protein, heart	CGI_10008477	EKC19445
K1QD88	K1QD88_CRAGI	15-hydroxyprostaglandin dehydrogenase [NAD+]	CGI_10008555	EKC19471
K1PL74	K1PL74_CRAGI	Coiled-coil domain-containing protein 43	CGI_10008333	EKC19534
K1QDI1	K1QDI1_CRAGI	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase	CGI_10008240	EKC19546
K1P7J8	K1P7J8_CRAGI	6-phosphofructokinase	CGI_10008151	EKC19597
K1PT78	K1PT78_CRAGI	Protein argonaute-2	CGI_10008155	EKC19600
K1P7N3	K1P7N3_CRAGI	Uncharacterized protein	CGI_10007922	EKC19677
K1PTE3	K1PTE3_CRAGI	Uncharacterized protein	CGI_10007925	EKC19680
K1QDW5	K1QDW5_CRAGI	Collagen alpha-2(I) chain	CGI_10007860	EKC19701
K1PDS7	K1PDS7_CRAGI	Collagen alpha-2(I) chain	CGI_10007862	EKC19703
K1PLL5	K1PLL5_CRAGI	Nidogen-2	CGI_10007863	EKC19704
K1QDZ5	K1QDZ5_CRAGI	Cytochrome c1, heme protein, mitochondrial	CGI_10007734	EKC19731
K1QE09	K1QE09_CRAGI	Transcription initiation factor TFIID subunit 11	CGI_10007710	EKC19746
K1PE00	K1PE00_CRAGI	Tubulin alpha chain	CGI_10007570	EKC19808
K1PLV6	K1PLV6_CRAGI	F-actin-capping protein subunit alpha	CGI_10007483	EKC19824
K1PU04	K1PU04_CRAGI	Uncharacterized protein	CGI_10007416	EKC19855
K1PU46	K1PU46_CRAGI	Lethal(2) giant larvae-like protein 1	CGI_10007347	EKC19885
K1P878	K1P878_CRAGI	Uncharacterized protein	CGI_10007259	EKC19917
K1PEA3	K1PEA3_CRAGI	Uncharacterized protein	CGI_10007261	EKC19918
K1PEF3	K1PEF3_CRAGI	Transcription factor E2F5	CGI_10007193	EKC19958
K1P8D9	K1P8D9_CRAGI	SH3 domain-binding glutamic acid-rich-like protein 3	CGI_10007141	EKC19977
K1P8G1	K1P8G1_CRAGI	Heterogeneous nuclear ribonucleoprotein H	CGI_10007212	EKC19997
K1P8G6	K1P8G6_CRAGI	Vesicular integral-membrane protein VIP36	CGI_10007093	EKC20002
K1P8H0	K1P8H0_CRAGI	Uncharacterized protein	CGI_10007068	EKC20007
K1PEN0	K1PEN0_CRAGI	Uncharacterized protein	CGI_10007080	EKC20018
K1PMC0	K1PMC0_CRAGI	Transcriptional adapter 3-like B	CGI_10007100	EKC20019
K1PMC6	K1PMC6_CRAGI	Serine/threonine-protein kinase 3	CGI_10007105	EKC20024
K1QF03	K1QF03_CRAGI	DnaJ-like protein subfamily B member 13	CGI_10006977	EKC20056
K1PEX5	K1PEX5_CRAGI	Protein hu-li tai shao	CGI_10006848	EKC20098
K1PMQ4	K1PMQ4_CRAGI	Microtubule-associated serine/threonine-protein kinase-like protein	CGI_10006792	EKC20119
K1PV28	K1PV28_CRAGI	Armadillo repeat protein deleted in velo-cardio-facial syndrome-like protein	CGI_10006793	EKC20120
K1P8T7	K1P8T7_CRAGI	Fibrillin-3	CGI_10006796	EKC20122
K1PMQ7	K1PMQ7_CRAGI	Uncharacterized protein	CGI_10006782	EKC20124
K1P8W6	K1P8W6_CRAGI	60S ribosomal protein L4	CGI_10006684	EKC20167
K1PV71	K1PV71_CRAGI	Calumenin-B	CGI_10006552	EKC20175
K1PMU7	K1PMU7_CRAGI	Protein daughter of sevenless	CGI_10006556	EKC20179
K1PV81	K1PV81_CRAGI	Uncharacterized protein	CGI_10006610	EKC20190
K1P8Y6	K1P8Y6_CRAGI	Eukaryotic translation initiation factor 4 gamma 2	CGI_10006569	EKC20197
K1QF98	K1QF98_CRAGI	Spermatogenesis-associated protein 4	CGI_10006510	EKC20206
K1P8Z6	K1P8Z6_CRAGI	WD repeat-containing protein 27	CGI_10006521	EKC20212
K1PF67	K1PF67_CRAGI	Calmodulin	CGI_10006481	EKC20233
K1PMY9	K1PMY9_CRAGI	Calmodulin	CGI_10006482	EKC20234
K1PF71	K1PF71_CRAGI	Tubulin-folding cofactor B	CGI_10006487	EKC20238
K1QFC1	K1QFC1_CRAGI	Sodium-and chloride-dependent GABA transporter ine	CGI_10006472	EKC20246
K1P929	K1P929_CRAGI	Sperm flagellar protein 2	CGI_10006406	EKC20262
K1PN15	K1PN15_CRAGI	Epidermal growth factor receptor substrate 15-like 1	CGI_10006360	EKC20264
