Cluster,Silo,ID,D3,D5,D7,D9,D11,D13
3,3,CHOYP_14332.1.2.m.5643,87.46525,51.67795,48.27415,109.9708,111.02715,162.26925
1,3,CHOYP_14332.2.2.m.61737,146.11925,170.54605,139.14475,102.87765,118.33735,128.35305
2,3,CHOYP_2AAA.1.1.m.13306,56.65525,59.7722,62.86495,66.0077,68.3992,70.76645
2,3,CHOYP_AAEL_AAEL007173.1.1.m.41471,44.7863,45.8163,0.1,38.9739,78.5785,92.68275
30,3,CHOYP_ABCF2.1.2.m.28362,288.97795,407.59395,396.1436,435.95605,311.6036,459.05795
28,3,CHOYP_ACT.23.27.m.58454,134.8912,110.9911,196.87485,99.3946,249.49095,264.21735
23,3,CHOYP_ACT.5.27.m.15585,563.3507,0.1,0.1,0.1,0.1,0.1
25,3,CHOYP_ACT.6.27.m.15622,0.1,0.1,334.28085,0.1,0.1,425.9015
27,3,CHOYP_ACT3.3.3.m.66907,174.55785,303.09585,180.14175,225.2547,275.60495,375.32195
3,3,CHOYP_ACT3A.1.1.m.25943,60.1365,45.42865,63.8368,72.1798,72.37645,88.0521
3,3,CHOYP_ACTN.1.2.m.15252,121.5965,119.54305,109.97355,105.5317,131.8154,154.1719
2,3,CHOYP_ARPC2.1.1.m.50573,45.1604,53.70485,47.8054,48.2853,49.23485,71.47735
5,3,CHOYP_ATPB.1.1.m.21960,242.47065,226.10965,249.1503,261.6795,246.55255,212.2842
6,3,CHOYP_BRAFLDRAFT_114866.4.5.m.35627,273.6752,321.98585,333.60405,341.1687,320.24755,446.31735
2,3,CHOYP_BRAFLDRAFT_115113.1.2.m.31023,70.9033,67.46935,55.3352,63.71115,59.14005,51.4184
2,3,CHOYP_BRAFLDRAFT_125327.1.1.m.29699,68.11945,64.4684,59.1511,61.65845,71.4007,63.0398
1,3,CHOYP_BRAFLDRAFT_125880.1.3.m.7081,134.3781,150.779,146.5397,130.8136,108.5873,95.23765
9,3,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,542.66385,314.21385,114.6228,78.76765,71.96685,66.4537
2,3,CHOYP_BRAFLDRAFT_204736.2.2.m.63327,39.43645,64.6181,62.9981,65.4556,51.7511,78.2177
2,3,CHOYP_BRAFLDRAFT_208436.4.32.m.22689,42.2917,52.40455,0.1,62.66415,70.61395,53.2141
2,3,CHOYP_BRAFLDRAFT_266781.1.2.m.24880,55.7935,69.54965,59.1611,68.32775,66.64005,60.1236
2,3,CHOYP_BRAFLDRAFT_74063.1.5.m.2740,39.01795,47.1555,57.8745,53.27895,77.62115,68.8137
2,3,CHOYP_BRAFLDRAFT_99083.1.1.m.11705,78.71115,59.51435,60.31525,60.6757,69.38715,57.2717
10,3,CHOYP_CALM.22.50.m.31010,35.5408,14.19735,0.1,242.6491,56.0522,49.0406
38,3,CHOYP_CDPK5.1.1.m.6214,157.4112,338.81155,341.3615,204.79915,317.1796,253.7249
2,3,CHOYP_contig_004993.m.5721,3.89935,11.653,36.67355,24.71695,17.3834,47.60125
2,3,CHOYP_contig_023710.m.26965,56.46315,71.48185,78.98085,71.7427,49.4804,35.15745
38,3,CHOYP_contig_041958.m.48141,125.73595,288.43815,334.24525,248.58245,288.91665,225.8463
3,3,CHOYP_contig_043813.m.50619,110.67575,111.3921,117.0697,117.8179,125.2893,81.7102
3,3,CHOYP_COX5B.3.3.m.38557,126.0457,108.05475,136.332,117.173,124.41615,110.85495
1,3,CHOYP_CPIPJ_CPIJ012408.1.1.m.10724,170.8237,100.2529,113.1851,95.09455,121.1427,88.26445
3,3,CHOYP_CUL3B.1.1.m.61644,19.04625,22.60815,25.60965,109.64515,58.01675,0.1
3,3,CHOYP_DHX8.2.3.m.55114,124.66115,125.40345,105.94765,111.6655,124.43195,123.7123
2,3,CHOYP_DLAT.1.1.m.64812,63.9854,62.3258,69.97825,61.6978,72.3133,72.241
2,3,CHOYP_DLDH.1.1.m.31018,76.6849,58.97275,51.8098,60.1041,72.4096,63.12375
2,3,CHOYP_DSIM_GD24875.1.1.m.66201,56.49475,60.04015,23.2102,13.3981,0.1,0.1
11,3,CHOYP_EF1A.2.4.m.50858,592.91925,671.2199,625.9092,638.5678,813.5562,814.2211
12,3,CHOYP_EF2.4.5.m.30186,138.03715,197.80085,175.81705,273.92685,248.0131,198.03735
13,3,CHOYP_EIF5A.1.3.m.22684,352.3577,380.49725,273.24535,269.13555,363.8985,240.5233
1,3,CHOYP_ENO.1.2.m.7681,168.42915,156.00445,141.5826,161.44515,205.88405,186.4109
3,3,CHOYP_ERF3A.1.1.m.57282,59.5292,78.4041,77.4133,73.8754,66.348,74.07665
