SampleName,SampleID,AlternateID,Contents
pool0,1,60,19dpf_Rep1
pool0,1A,61,19dpf_Rep2
S3CD3,4,64,Silo3_23C_21dpf_Rep1
S3CD3,4A,65,Silo3_23C_21dpf_Rep2
S9HD3,8,66,Silo9_29C_21dpf_Rep1
S9HD3,8A,67,Silo9_29C_21dpf_Rep2
S3CD5,12,70,Silo3_23C_23dpf_Rep1
S3CD5,12A,71,Silo3_23C_23dpf_Rep2
S9HD5,16,72,Silo9_29C_23dpf_Rep1
S9HD5,16A,73,Silo9_29C_23dpf_Rep2
S3CD7,20,76,Silo3_23C_25dpf_Rep1
S3CD7,20A,77,Silo3_23C_25dpf_Rep2
S9HD7,24,78,Silo9_29C_25dpf_Rep1
S9HD7,24A,79,Silo9_29C_25dpf_Rep2
S3CD9,28,82,Silo3_23C_27dpf_Rep1
S3CD9,28A,83,Silo3_23C_27dpf_Rep2
S9HD9,32,84,Silo9_29C_27dpf_Rep1
S9HD9,32A,85,Silo9_29C_27dpf_Rep2
S3CD11,36,88,Silo3_23C_29dpf_Rep1
S3CD11,36A,89,Silo3_23C_29dpf_Rep2
S9HD11,40,90,Silo9_29C_29dpf_Rep1
S9HD11,40A,91,Silo9_29C_29dpf_Rep2
S3CD13,44,94,Silo3_23C_31dpf_Rep1
S3CD13,44A,95,Silo3_23C_31dpf_Rep2
S9HD13,48,96,Silo9_29C_31dpf_Rep1
S9HD13,48A,97,Silo9_29C_31dpf_Rep2
