,D_3_adj.ChiSq.pval,D_3_ChiSq.pval,D_3_logFC,D_5_adj.ChiSq.pval,D_5_ChiSq.pval,D_5_logFC,D_7_adj.ChiSq.pval,D_7_ChiSq.pval,D_7_logFC,D_9_adj.ChiSq.pval,D_9_ChiSq.pval,D_9_logFC,D_11_adj.ChiSq.pval,D_11_ChiSq.pval,D_11_logFC,D_13_adj.ChiSq.pval,D_13_ChiSq.pval,D_13_logFC
CHOYP_1433G.2.2.m.63450,0.979445546193914,0.919531907714958,-0.0274242014931589,0.967036679485888,0.249241643975558,0.304645611460794,0.949671592008509,0.260622894220008,0.302148961194911,0.979180442953242,0.289463669984634,-0.25844893472305,0.998682844793179,0.866987645832467,0.042706295548224,0.978007666549162,0.950705242575977,0.0167728204446504
CHOYP_AADAT.1.1.m.12672,0.979445546193914,0.734701285910509,0.271589501446202,0.967036679485888,0.660377709534512,0.327365687960878,0.995933645136192,0.995557962886046,0.00446841255422559,0.979180442953242,0.753849483005781,0.219598362081595,0.998682844793179,0.223936313187216,-0.876850711896455,0.958428402785477,0.312937257683804,-0.776776302087923
CHOYP_ALF.3.3.m.66837,0.979445546193914,0.471757581773674,0.236824083285526,0.971012316279323,0.938413260772398,0.025096118843984,0.949671592008509,0.425123032095813,0.26533498170531,0.979180442953242,0.877599019235235,0.0496733606392823,0.998682844793179,0.904589190510838,-0.0389074700054284,0.958428402785477,0.76701687492937,-0.0925521699936906
CHOYP_FUT8.1.1.m.9231,0.979445546193914,0.672194024160343,0.464234579388597,0.967036679485888,0.731400300612477,-0.450241890702674,0.949671592008509,0.351377172963938,0.96382642805688,0.979180442953242,0.972531914860765,0.0496733606392824,0.998682844793179,0.653385218518997,-0.587344094701471,0.958428402785477,0.196410946622481,-1.03981070792172
CHOYP_FYN.1.1.m.44312,0.979445546193914,0.364240780335854,0.421165857496712,0.967036679485888,0.90484592360714,0.0567180980172091,0.995933645136192,0.987250657362679,-0.0076044197463494,0.979180442953242,0.789886260488906,0.12006268853068,0.998682844793179,0.550102745299311,0.26065281185348,0.958428402785477,0.343917961370853,-0.435739384252856
CHOYP_G6PD.2.2.m.46923,0.979445546193914,0.539730353310674,-0.194728502776336,0.967036679485888,0.865740783110443,0.0567180980172086,0.949671592008509,0.325550218521653,-0.405407381608839,0.979180442953242,0.55799001901135,-0.205583694602792,0.998682844793179,0.539474516095061,0.220010827356133,0.958428402785477,0.745492266843965,0.105387207618218
CHOYP_GABPA.1.1.m.15077,0.979445546193914,0.604193428190374,-0.436229747060488,0.967036679485888,0.43488272446853,0.719683110739638,0.949671592008509,0.626477516287901,-0.510104760275532,0.979180442953242,0.956581460547104,0.0496733606392823,0.998682844793179,0.997718581835477,-0.00238159398031446,0.958428402785477,0.192672337444564,1.44561611924853
CHOYP_GACZ.1.1.m.42619,0.979445546193914,0.238323186467002,1.37112517499712,0.967036679485888,0.627355165862806,-0.450241890702674,0.949671592008509,0.443085840815039,-0.773139166109326,0.979180442953242,0.438661056454689,-0.950326639360718,0.998682844793179,0.998682844793179,-0.00238159398031423,0.958428402785477,0.801506570364873,-0.361738802809079
CHOYP_GAK.1.1.m.7017,0.979445546193914,0.622814589939438,0.290205179613548,0.967036679485888,0.85178882216867,0.134720610018482,0.949671592008509,0.119329454001414,-1.15165078936306,0.979180442953242,0.889164642406397,-0.0878301631106524,0.998682844793179,0.347553634386339,0.649695102599379,0.958428402785477,0.528179020045501,0.638261197190921
CHOYP_GALT2.1.1.m.54493,0.979445546193914,0.961533770971959,0.0491970801097537,0.967036679485888,0.925573142744446,0.134720610018482,0.949671592008509,0.531155711953646,-0.773139166109326,0.979180442953242,0.67187442073964,0.464710859918126,0.998682844793179,0.99813724555608,-0.00238159398031423,0.958428402785477,0.210699349927176,-0.876311975638838
