term	D3_magFC.x	numprots	D5_magFC.x	D7_magFC.x	D9_magFC.x	D11_magFC.x	D13_magFC.x	D3_magFC.y	D5_magFC.y	D7_magFC.y	D9_magFC.y	D11_magFC.y	D13_magFC.y
anatomical structure development	19.7145442756371	25	10.1053482340726	7.54098579208348	18.8565795967882	13.9250408471011	15.326845715591	0.788581771025485	0.404213929362902	0.301639431683339	0.75426318387153	0.557001633884045	0.613073828623641
anatomical structure formation invo...	4.48533253654861	9	1.84632207761263	2.66544881577244	3.42876576883257	4.70336402147349	3.67514597379331	0.498370281838735	0.205146897512514	0.296160979530271	0.38097397431473	0.522596002385944	0.408349552643702
ATPase activity	19.0475413503199	16	5.77919535865825	4.6967171337732	15.4713291214803	10.5311153320573	10.5239496690005	1.19047133439499	0.361199709916141	0.293544820860825	0.96695807009252	0.658194708253584	0.657746854312532
biosynthetic process	16.1318519324527	21	7.5103315188722	7.88264725457131	12.0733650281048	11.6251817978318	15.1486872212008	0.768183425354892	0.35763483423201	0.375364154979586	0.574922144195467	0.553580085611038	0.721366058152418
carbohydrate metabolic process	3.74638690476618	4	0.803462155094946	1.00942199066502	0.994481713508524	0.359172797110498	0.35640877870384	0.936596726191545	0.200865538773737	0.252355497666255	0.248620428377131	0.0897931992776244	0.08910219467596
catabolic process	10.5506370742684	9	4.83760966241051	3.38567840828862	3.72288281300915	4.24300287667988	5.10203894221001	1.17229300825205	0.537512184712278	0.376186489809846	0.413653645889905	0.471444764075542	0.566893215801112
cell adhesion	16.2994461541531	12	9.6182353631001	3.85050491218156	6.63805221235615	5.1212000920605	4.72414135437485	1.35828717951276	0.801519613591675	0.320875409348463	0.553171017696345	0.426766674338375	0.393678446197904
cell cycle	1.78270482642782	5	2.90684490431885	0.743160966766593	3.38173166144032	1.85887521280058	3.87126285222562	0.356540965285564	0.581368980863771	0.148632193353319	0.676346332288064	0.371775042560117	0.774252570445123
cell death	3.03826576114059	1	0.134720610018482	0.226860833890674	0.0496733606392824	0.00238159398031423	0.361738802809079	3.03826576114059	0.134720610018482	0.226860833890674	0.0496733606392824	0.00238159398031423	0.361738802809079
cell differentiation	8.49243484285694	11	5.74626960776588	2.41990447634581	7.23962011530071	6.28082034309446	9.52637162564856	0.772039531168813	0.522388146160534	0.219991316031437	0.658147283209155	0.570983667554042	0.866033784149869
cell division	4.14562372755359	5	3.07419831158642	1.59681044364098	2.75782053164787	2.89281965209245	5.28687996091391	0.829124745510717	0.614839662317285	0.319362088728196	0.551564106329573	0.578563930418491	1.05737599218278
cell junction organization	2.49054946975076	2	0.936641162070228	1.03084596695276	0.67417570290421	0.97343822176081	1.47040212797588	1.24527473487538	0.468320581035114	0.515422983476379	0.337087851452105	0.486719110880405	0.73520106398794
cell morphogenesis	5.72101543068356	5	2.03205353881211	1.39630690950705	1.21515492682162	2.95033962198804	1.86969224044235	1.14420308613671	0.406410707762421	0.279261381901409	0.243030985364324	0.590067924397608	0.373938448088469
cell motility	9.92098004439106	10	3.10810908920332	2.44658087385458	10.3180067110737	6.30260732843405	2.38908797157993	0.992098004439106	0.310810908920332	0.244658087385458	1.03180067110737	0.630260732843405	0.238908797157993
cell proliferation	1.58337700674199	5	0.479616783587854	0.682343851816869	3.02135471267735	1.1600137629037	3.31366100661108	0.316675401348397	0.0959233567175708	0.136468770363374	0.60427094253547	0.23200275258074	0.662732201322215
cell-cell signaling	0.965978715479891	2	0.290754097349312	0.0918424375577161	0.440228668917351	0.28143746959638	0.398904769481363	0.482989357739945	0.145377048674656	0.0459212187788581	0.220114334458676	0.14071873479819	0.199452384740681
cellular amino acid metabolic proce...	5.19639721280351	2	1.94126939625185	1.31181307858163	1.26303440583379	1.0872253481526	2.04540570050552	2.59819860640176	0.970634698125923	0.655906539290815	0.631517202916896	0.543612674076302	1.02270285025276
cellular component assembly	20.7381994824522	28	9.79575307433749	9.32072264917389	22.0046877550075	16.0252357508749	15.4722116883814	0.740649981516151	0.349848324083482	0.33288295175621	0.785881705535981	0.572329848245532	0.552578988870765
cellular nitrogen compound metaboli...	12.7809481623262	18	6.73244206037565	7.30263865422708	10.9027272494149	10.7632642928515	17.964109655977	0.710052675684789	0.374024558909758	0.40570214745706	0.605707069411937	0.59795912738064	0.998006091998723
cellular protein modification proce...	3.40359824995727	10	1.56375157056483	1.37818529233799	5.23068591483902	6.36579980461053	7.71365230290222	0.340359824995727	0.156375157056483	0.137818529233799	0.523068591483902	0.636579980461053	0.771365230290222
chromosome organization	2.72593728403488	2	1.18999039860033	1.61666766011005	1.35989594508638	1.13750352374993	2.48246950611437	1.36296864201744	0.594995199300167	0.808333830055025	0.679947972543191	0.568751761874967	1.24123475305718
chromosome segregation	3.12656106522123	3	1.31090520909378	0.917853604754359	1.67556016020593	2.57927079416579	4.19268054518431	1.04218702174041	0.436968403031262	0.305951201584786	0.558520053401978	0.859756931388596	1.3975601817281
cofactor metabolic process	2.5828881724833	2	0.991907244508055	1.11097113866802	1.02762590597756	1.12024040538056	2.79069757810399	1.29144408624165	0.495953622254028	0.555485569334012	0.51381295298878	0.560120202690282	1.395348789052
cytoskeletal protein binding	9.58374741005776	20	4.08307481949597	5.89672366104997	6.86543627571832	7.49009376974442	10.0933316388321	0.479187370502888	0.204153740974799	0.294836183052498	0.343271813785916	0.374504688487221	0.504666581941605
cytoskeleton organization	7.38809428097784	17	3.7685578954109	4.62559099241239	6.82680561924201	6.34195108518726	7.73329944821744	0.43459378123399	0.221679876200641	0.272093587788964	0.401576801131883	0.373055946187486	0.454899967542202
cytoskeleton-dependent intracellula...	1.85663620871572	3	1.13472061001848	1.93539640070084	3.46817494422334	2.86863020509149	6.06700090440701	0.618878736238574	0.378240203339494	0.645132133566948	1.15605831474111	0.95621006836383	2.02233363480234
developmental maturation	0.0963310557008485	1	0.0259729467664567	0.0801911847486654	0.292944511651647	0.0158858583300621	0.0344043847172948	0.0963310557008485	0.0259729467664567	0.0801911847486654	0.292944511651647	0.0158858583300621	0.0344043847172948
DNA binding	2.11480827628005	5	3.52950748837259	3.30561169880294	5.7928009575998	4.6645856642158	5.31762062373402	0.42296165525601	0.705901497674518	0.661122339760589	1.15856019151996	0.93291713284316	1.0635241247468
DNA metabolic process	2.51100442934397	4	2.18002863935372	1.77956539465839	5.01562567824364	4.29338642997511	10.6231745421022	0.627751107335993	0.545007159838431	0.444891348664599	1.25390641956091	1.07334660749378	2.65579363552555
embryo development	1.09915072481011	3	0.254306250751419	0.749240898411961	2.61968069952814	2.67975972892287	4.03571498096014	0.366383574936703	0.0847687502504731	0.24974696613732	0.873226899842712	0.89325324297429	1.34523832698671
enzyme binding	7.79856744451243	11	3.74962523453219	5.43202127225663	6.21667108764621	6.41836836689994	6.90427193077326	0.708960676773857	0.340875021321108	0.493820115659694	0.565151917058747	0.58348803335454	0.627661084615751
enzyme regulator activity	7.57589367126906	5	1.66860839589847	1.62816334902538	2.50346432457835	2.50371457012525	1.28161209903155	1.51517873425381	0.333721679179695	0.325632669805075	0.500692864915671	0.50074291402505	0.256322419806311
extracellular matrix organization	1.12614366158539	2	0.363062854166079	0.302248830720431	0.733852448023105	1.75306450416452	1.6343635489647	0.563071830792694	0.18153142708304	0.151124415360215	0.366926224011552	0.876532252082261	0.817181774482348
generation of precursor metabolites...	3.07540098706765	3	0.197017182417935	0.927615189916075	1.50644809440041	1.02409061738088	1.17843158944602	1.02513366235588	0.0656723941393116	0.309205063305358	0.502149364800136	0.341363539126959	0.39281052981534
growth	0.55668502452171	2	0.458475044426981	0.424822357837768	0.628379461350113	1.61669020824345	1.00520829100276	0.278342512260855	0.229237522213491	0.212411178918884	0.314189730675057	0.808345104121726	0.502604145501381
GTPase activity	5.76388761220666	9	1.53539038477297	2.01164144843867	3.2181257775736	1.19565172162171	0.747076009365711	0.640431956911851	0.170598931641441	0.223515716493185	0.357569530841511	0.132850191291301	0.083008445485079
homeostatic process	3.34186202225612	2	1.70043971814109	2.22239242133645	2.27684020535883	1.58019931276053	2.23071870476872	1.67093101112806	0.850219859070546	1.11119621066822	1.13842010267941	0.790099656380264	1.11535935238436
hydrolase activity, acting on glyco...	3.37968027060953	2	0.489626815699528	0.383328639551506	0.358191638874135	0.102014957613373	0.222074610359465	1.68984013530476	0.244813407849764	0.191664319775753	0.179095819437067	0.0510074788066865	0.111037305179733
immune system process	1.01680836720112	5	1.22109006473049	0.736707076131128	2.34405213342541	2.83880125449426	1.97730130559312	0.203361673440224	0.244218012946099	0.147341415226226	0.468810426685082	0.567760250898852	0.395460261118624
ion binding	39.6871109363602	37	13.8919806340784	10.630433730462	20.1885867320163	15.7644881924069	23.2047102902141	1.07262461990163	0.375458936056174	0.287309019742217	0.545637479243683	0.42606724844343	0.627154332167947
isomerase activity	1.06573996006901	3	0.359327528249038	0.335795687592477	0.760968048221135	0.405251713268457	1.01549241994554	0.355246653356335	0.119775842749679	0.111931895864159	0.253656016073712	0.135083904422819	0.338497473315179
kinase activity	7.12538113969464	11	1.77956808583487	3.27674521514771	4.90970608065588	5.21991130525577	4.88419313608916	0.647761921790422	0.161778916894079	0.297885928649792	0.446336916423262	0.474537391386888	0.444017557826287
ligase activity	5.19639721280351	2	1.94126939625185	1.31181307858163	1.26303440583379	1.0872253481526	2.04540570050552	2.59819860640176	0.970634698125923	0.655906539290815	0.631517202916896	0.543612674076302	1.02270285025276
lipid binding	0.879316375702158	2	0.432623310584805	0.279154071197071	1.22689381357138	1.40543672899657	1.8782422810182	0.439658187851079	0.216311655292403	0.139577035598535	0.613446906785692	0.702718364498284	0.939121140509099
lipid metabolic process	3.47436487594726	3	2.47359877383578	2.03908473036485	2.85191303695621	3.77469869594057	5.44276841304532	1.15812162531575	0.824532924611928	0.679694910121617	0.950637678985404	1.25823289864686	1.81425613768177
locomotion	10.2242993790021	11	3.16882911777802	2.76286236499043	10.5154336921567	6.57706593981256	3.08989063483957	0.929481761727463	0.288075374343457	0.251169305908221	0.955948517468789	0.597915085437506	0.280899148621779
lyase activity	4.24559239743706	4	2.04175579395862	2.24080319522872	2.07686266602037	1.26192102745775	1.62334652032551	1.06139809935927	0.510438948489655	0.56020079880718	0.519215666505093	0.315480256864437	0.405836630081378
membrane organization	4.54942979057832	7	1.59421317632677	2.03795528363585	2.92965772607709	2.05060497908102	2.86689659783068	0.649918541511188	0.227744739475252	0.291136469090836	0.418522532296727	0.292943568440146	0.409556656832954
methyltransferase activity	0.290205179613549	1	0.464741460397789	0.270638825580143	0.480841356059497	0.438480708786988	0.683666897696441	0.290205179613549	0.464741460397789	0.270638825580143	0.480841356059497	0.438480708786988	0.683666897696441
mitotic cell cycle	1.78270482642782	5	2.90684490431885	0.743160966766593	3.38173166144032	1.85887521280058	3.87126285222562	0.356540965285564	0.581368980863771	0.148632193353319	0.676346332288064	0.371775042560117	0.774252570445123
mRNA processing	1.19873043333383	1	1.21891634459622	0.965784244051722	2.12025164080303	1.48780842115056	2.36173880280908	1.19873043333383	1.21891634459622	0.965784244051722	2.12025164080303	1.48780842115056	2.36173880280908
nervous system process	0.125145933343052	1	0.186119762525125	0.28809846341254	0.220887058050167	0.190716520562095	0.0504104171449367	0.125145933343052	0.186119762525125	0.28809846341254	0.220887058050167	0.190716520562095	0.0504104171449367
nuclease activity	2.2661938350457	4	2.67453641502546	2.7478602352695	5.39250637505111	5.24422912265602	10.2517363483766	0.566548458761426	0.668634103756366	0.686965058817376	1.34812659376278	1.31105728066401	2.56293408709415
nucleobase-containing compound cata...	1.44057259138598	2	1.45859124935924	1.5784587379678	2.21431912080077	1.76296080269916	2.53083252767576	0.72028629569299	0.729295624679618	0.789229368983901	1.10715956040038	0.881480401349578	1.26541626383788
nucleocytoplasmic transport	0.0756692914709447	1	0.320276263174558	0.326396507441589	0.0243272208044942	0.25477624551681	0.1884582797514	0.0756692914709447	0.320276263174558	0.326396507441589	0.0243272208044942	0.25477624551681	0.1884582797514
oxidoreductase activity	5.08279663090823	6	5.97520486139243	3.25532353757248	3.95719532320557	3.6316463363663	3.05435322999281	0.847132771818039	0.995867476898739	0.542553922928747	0.659532553867595	0.605274389394383	0.509058871665469
peptidase activity	3.36309728386377	2	0.394972102120823	0.399950411340367	0.296383568338119	0.0149503414659715	0.512648295905266	1.68154864193189	0.197486051060412	0.199975205670184	0.14819178416906	0.00747517073298577	0.256324147952633
plasma membrane organization	1.95079235296009	5	0.596174085498745	0.652141623610445	2.41577832341742	1.00022661284919	1.25218675371547	0.390158470592018	0.119234817099749	0.130428324722089	0.483155664683483	0.200045322569838	0.250437350743093
protein folding	1.92362906381204	6	1.87837016088929	2.19292630836202	3.55084826007973	1.46148553752575	2.48567300183643	0.320604843968673	0.313061693481548	0.365487718060337	0.591808043346622	0.243580922920958	0.414278833639405
protein maturation	3.03826576114059	1	0.134720610018482	0.226860833890674	0.0496733606392824	0.00238159398031423	0.361738802809079	3.03826576114059	0.134720610018482	0.226860833890674	0.0496733606392824	0.00238159398031423	0.361738802809079
protein targeting	0.241842158052149	1	0.239674904763016	0.61267449391608	0.0940674799977366	0.275152381548595	0.169093724866683	0.241842158052149	0.239674904763016	0.61267449391608	0.0940674799977366	0.275152381548595	0.169093724866683
protein-containing complex assembly	11.8769785522343	19	6.66027694007461	6.17787693808141	13.4378599319342	10.9055205645102	10.7862760002247	0.625104134328123	0.350540891582874	0.325151417793758	0.707255785891273	0.573974766553167	0.567698736853932
reproduction	0.54669673958057	1	0.087671811317966	0.226860833890674	0.687292233526923	0.630412816593356	0.27427596155874	0.54669673958057	0.087671811317966	0.226860833890674	0.687292233526923	0.630412816593356	0.27427596155874
response to stress	15.0806705072741	17	4.45418974672448	5.12640350881806	10.6878332464739	11.6217943013157	16.3021802693476	0.887098265133772	0.262011161572028	0.301553147577533	0.628696073321994	0.683634958900921	0.95895178054986
ribosome biogenesis	3.57275903616677	1	0.0849675748213823	0.329954326854778	0.284745678431277	0.190008597156086	0.0137703322831273	3.57275903616677	0.0849675748213823	0.329954326854778	0.284745678431277	0.190008597156086	0.0137703322831273
RNA binding	3.07965899270825	8	2.26279984665118	3.93349840307127	4.98395126573535	3.38805420458041	3.64097825080791	0.384957374088531	0.282849980831397	0.491687300383908	0.622993908216919	0.423506775572551	0.455122281350989
rRNA binding	1.36066309092687	3	1.36002741284432	2.31963454998663	2.2054595429369	1.27833794670346	0.978982319114225	0.45355436364229	0.453342470948108	0.773211516662211	0.735153180978966	0.426112648901153	0.326327439704742
secondary metabolic process	2.6244908649078	2	1.2105475309834	0.689034954868843	1.255748237544	2.46009040826519	2.98807252543957	1.3122454324539	0.605273765491698	0.344517477434422	0.627874118771998	1.23004520413259	1.49403626271978
signal transduction	11.9833633460059	14	3.51466046226539	5.43710133370675	8.08608319129853	6.59981290087907	10.9327247847745	0.855954524714709	0.2510471758761	0.388364380979053	0.577577370807038	0.471415207205648	0.780908913198176
small molecule metabolic process	15.0046862575947	12	5.36071685146161	5.75752284528631	6.52237482372097	6.63188030453896	7.91566877407409	1.25039052146623	0.446726404288468	0.479793570440526	0.543531235310081	0.552656692044913	0.659639064506174
structural constituent of ribosome	1.17513945133978	5	1.00785235381742	1.43900834767758	0.777026655663024	0.718326659622102	0.696705060668203	0.235027890267956	0.201570470763483	0.287801669535516	0.155405331132605	0.14366533192442	0.139341012133641
structural molecule activity	8.57491673342204	21	6.6420158000896	6.1767101924621	6.4065231880987	7.44114401697303	6.1012690319002	0.408329368258193	0.316286466670933	0.29412905678391	0.305072532766605	0.35434019128443	0.290536620566676
symbiont process	1.12848964879784	3	1.28819466808326	1.97446287445857	3.19100171924484	2.14307068288511	2.32363049050167	0.376163216265946	0.429398222694419	0.658154291486191	1.06366723974828	0.714356894295038	0.774543496833891
transcription factor binding	0.650154285929155	2	0.333062983181725	0.293880372786553	1.07915953751913	0.660025449695184	2.46744480692	0.325077142964578	0.166531491590863	0.146940186393277	0.539579768759565	0.330012724847592	1.23372240346
