Var1	Var2	semsimValue	type
cellular protein modification proce...	cellular nitrogen compound metaboli...	0.615976820936905	term-term
catabolic process	cellular nitrogen compound metaboli...	0.505630679638114	term-term
cellular protein modification proce...	nucleobase-containing compound cata...	0.504103943564127	term-term
catabolic process	nucleobase-containing compound cata...	0.915143743263545	term-term
cellular nitrogen compound metaboli...	nucleobase-containing compound cata...	0.778075774250422	term-term
cellular protein modification proce...	carbohydrate metabolic process	0.504103943564127	term-term
nucleobase-containing compound cata...	carbohydrate metabolic process	0.504103943564127	term-term
cell cycle	mitotic cell cycle	0.915143743263545	term-term
cellular protein modification proce...	DNA metabolic process	0.687124423315857	term-term
cellular nitrogen compound metaboli...	DNA metabolic process	0.778075774250422	term-term
nucleobase-containing compound cata...	DNA metabolic process	0.752051971782063	term-term
carbohydrate metabolic process	DNA metabolic process	0.504103943564127	term-term
cellular protein modification proce...	lipid metabolic process	0.504103943564127	term-term
nucleobase-containing compound cata...	lipid metabolic process	0.504103943564127	term-term
carbohydrate metabolic process	lipid metabolic process	0.504103943564127	term-term
DNA metabolic process	lipid metabolic process	0.504103943564127	term-term
anatomical structure formation invo...	anatomical structure development	0.64615577350585	term-term
anatomical structure formation invo...	embryo development	0.595614183439992	term-term
anatomical structure development	embryo development	0.915143743263545	term-term
signal transduction	homeostatic process	0.843562211657928	term-term
cellular protein modification proce...	translation	0.843562211657928	term-term
cellular nitrogen compound metaboli...	translation	0.778075774250422	term-term
nucleobase-containing compound cata...	translation	0.636762704146501	term-term
carbohydrate metabolic process	translation	0.504103943564127	term-term
DNA metabolic process	translation	0.687124423315857	term-term
lipid metabolic process	translation	0.504103943564127	term-term
cellular nitrogen compound metaboli...	biosynthetic process	0.505630679638114	term-term
translation	biosynthetic process	0.915143743263545	term-term
transport	vesicle-mediated transport	0.718625222146437	term-term
cytoskeleton organization	cell morphogenesis	0.504103943564127	term-term
anatomical structure formation invo...	cell morphogenesis	0.595614183439992	term-term
anatomical structure development	cell morphogenesis	0.64615577350585	term-term
embryo development	cell morphogenesis	0.687124423315857	term-term
DNA binding	translation factor activity, RNA bi...	0.687124423315857	term-term
ion binding	RNA binding	0.52374493000122	term-term
DNA binding	RNA binding	0.784365343474329	term-term
lipid binding	RNA binding	0.52374493000122	term-term
enzyme binding	RNA binding	0.52374493000122	term-term
translation factor activity, RNA bi...	RNA binding	0.858481350889528	term-term
DNA binding	rRNA binding	0.687124423315857	term-term
translation factor activity, RNA bi...	rRNA binding	0.752051971782063	term-term
RNA binding	rRNA binding	0.858481350889528	term-term
structural constituent of ribosome	structural molecule activity	0.915143743263545	term-term
enzyme binding	cytoskeletal protein binding	0.636762704146501	term-term
RNA binding	cytoskeletal protein binding	0.52374493000122	term-term
GTPase activity	peptidase activity	0.636762704146501	term-term
kinase activity	transferase activity, transferring ...	0.752051971782063	term-term
GTPase activity	nuclease activity	0.636762704146501	term-term
peptidase activity	nuclease activity	0.636762704146501	term-term
GTPase activity	hydrolase activity, acting on glyco...	0.636762704146501	term-term
peptidase activity	hydrolase activity, acting on glyco...	0.636762704146501	term-term
nuclease activity	hydrolase activity, acting on glyco...	0.636762704146501	term-term
cellular nitrogen compound metaboli...	small molecule metabolic process	0.505630679638114	term-term
lipid metabolic process	small molecule metabolic process	0.745431229790636	term-term
cellular protein modification proce...	generation of precursor metabolites...	0.504103943564127	term-term
cellular nitrogen compound metaboli...	generation of precursor metabolites...	0.615976820936905	term-term
nucleobase-containing compound cata...	generation of precursor metabolites...	0.504103943564127	term-term
DNA metabolic process	generation of precursor metabolites...	0.504103943564127	term-term
translation	generation of precursor metabolites...	0.504103943564127	term-term
cellular protein modification proce...	cofactor metabolic process	0.504103943564127	term-term
cellular nitrogen compound metaboli...	cofactor metabolic process	0.615976820936905	term-term
nucleobase-containing compound cata...	cofactor metabolic process	0.504103943564127	term-term
DNA metabolic process	cofactor metabolic process	0.504103943564127	term-term
translation	cofactor metabolic process	0.504103943564127	term-term
generation of precursor metabolites...	cofactor metabolic process	0.504103943564127	term-term
cytoskeleton organization	protein-containing complex assembly	0.504103943564127	term-term
cell morphogenesis	protein-containing complex assembly	0.504103943564127	term-term
cytoskeleton organization	cellular component assembly	0.546880317221063	term-term
cell morphogenesis	cellular component assembly	0.546880317221063	term-term
protein-containing complex assembly	cellular component assembly	0.915143743263545	term-term
cellular protein modification proce...	mRNA processing	0.687124423315857	term-term
cellular nitrogen compound metaboli...	mRNA processing	0.778075774250422	term-term
nucleobase-containing compound cata...	mRNA processing	0.752051971782063	term-term
carbohydrate metabolic process	mRNA processing	0.504103943564127	term-term
DNA metabolic process	mRNA processing	0.843562211657928	term-term
lipid metabolic process	mRNA processing	0.504103943564127	term-term
translation	mRNA processing	0.687124423315857	term-term
generation of precursor metabolites...	mRNA processing	0.504103943564127	term-term
cofactor metabolic process	mRNA processing	0.504103943564127	term-term
cellular protein modification proce...	cellular amino acid metabolic proce...	0.504103943564127	term-term
cellular nitrogen compound metaboli...	cellular amino acid metabolic proce...	0.727795399945379	term-term
nucleobase-containing compound cata...	cellular amino acid metabolic proce...	0.595614183439992	term-term
carbohydrate metabolic process	cellular amino acid metabolic proce...	0.504103943564127	term-term
DNA metabolic process	cellular amino acid metabolic proce...	0.595614183439992	term-term
lipid metabolic process	cellular amino acid metabolic proce...	0.687124423315857	term-term
translation	cellular amino acid metabolic proce...	0.843562211657928	term-term
small molecule metabolic process	cellular amino acid metabolic proce...	0.915143743263545	term-term
generation of precursor metabolites...	cellular amino acid metabolic proce...	0.504103943564127	term-term
cofactor metabolic process	cellular amino acid metabolic proce...	0.504103943564127	term-term
mRNA processing	cellular amino acid metabolic proce...	0.595614183439992	term-term
cytoskeleton organization	membrane organization	0.546880317221063	term-term
cell morphogenesis	membrane organization	0.546880317221063	term-term
protein-containing complex assembly	membrane organization	0.546880317221063	term-term
cellular component assembly	membrane organization	0.59758952759793	term-term
transport	protein targeting	0.718625222146437	term-term
vesicle-mediated transport	protein targeting	0.56082360490208	term-term
transport	nucleocytoplasmic transport	0.718625222146437	term-term
vesicle-mediated transport	nucleocytoplasmic transport	0.56082360490208	term-term
protein targeting	nucleocytoplasmic transport	0.752051971782063	term-term
cytoskeleton organization	plasma membrane organization	0.504103943564127	term-term
cell morphogenesis	plasma membrane organization	0.504103943564127	term-term
protein-containing complex assembly	plasma membrane organization	0.504103943564127	term-term
cellular component assembly	plasma membrane organization	0.546880317221063	term-term
