Day11_23C,Day11_29C,Day13_23C,Day13_29C,Day3_23C,Day3_29C,Day5_23C,Day5_29C,Day7_23C,Day7_29C,Day9_23C,Day9_29C,proteinID
146.19165,152.6035,137.1827,138.2903,118.5597,116.2867,115.08225,144.9125,121.2016,149.3817,168.5959,141.78035,CHOYP_1433G.2.2|m.63450
12.8332,5.74585,10.43185,5.2244,5.0405,6.66505,6.33765,8.5936,6.6048,6.36785,7.98635,9.68885,CHOYP_AADAT.1.1|m.12672
8.77845,3.5392,10.6563,8.0247,0,0,0,0,0,1.9875,1.67275,5.1303,CHOYP_ALF.3.3|m.66837
1.0498,0,7.4011,2.7912,0.9432,1.8911,0.94015,0,0.98035,3.3868,0,0,CHOYP_FUT8.1.1|m.9231
71.90015,89.02415,87.65825,62.1597,53.00875,74.6415,60.66135,64.49085,67.376,66.7078,68.0045,73.72525,CHOYP_FYN.1.1|m.44312
30.95145,36.84175,43.03025,45.37305,41.948,37.07115,35.37955,35.5445,28.8929,20.89505,35.3935,29.98055,CHOYP_G6PD.2.2|m.46923
4.53335,4.58165,0,5.1942,5.0092,3.23095,2.0407,4.53625,3.16115,1.3041,3.18705,3.29385,CHOYP_GABPA.1.1|m.15077
0,0,0,0,0,1.4365,1.82535,1.03335,1.91925,0.62305,1.033,0,CHOYP_GACZ.1.1|m.42619
2.3029,4.2051,0.6129,1.6802,3.67125,4.7405,2.4767,2.80465,4.74505,1.5382,3.94,3.57995,CHOYP_GAK.1.1|m.7017
2.05815,2.0801,10.0259,4.6956,1.8184,1.9201,0,0,1.92575,0,1.03635,1.99555,CHOYP_GALT2.1.1|m.54493
28.00255,17.95885,15.50545,23.26005,31.52725,26.14925,29.45735,15.4789,28.5276,14.1579,31.11275,32.1204,CHOYP_GAR1.1.2|m.9449
7.0773,8.2223,4.94975,7.42035,6.2918,5.69235,9.07375,5.1091,7.5761,3.3871,9.5862,6.90455,CHOYP_GBB.2.2|m.35274
85.24795,98.33645,93.7708,85.2417,69.84365,77.55065,79.4204,77.61085,77.79975,85.6145,78.37495,98.2704,CHOYP_GBLP.6.7|m.57427
4.74745,0,1.98755,2.9257,4.20995,1.52875,2.8293,0,4.49045,3.5355,2.9969,0,CHOYP_AMACR.1.1|m.21950
0.3368,0.5719,0.68895,0.7735,0.7506,0.5279,0.7587,0.57015,0.58955,0.6293,1.06685,0.82365,CHOYP_GCC2.1.1|m.17251
0,1.1199,5.10445,6.68245,2.77745,3.9135,3.73315,5.29775,2.0498,4.6534,5.9647,0,CHOYP_GCKR.1.1|m.51743
18.96195,19.37695,15.66445,14.86045,14.7629,17.8949,20.89745,19.9961,23.02635,18.58085,22.779,17.94825,CHOYP_GCN1L.1.1|m.1352
18.34915,18.5082,13.6821,19.9916,26.6634,20.96155,20.0352,19.71265,17.81985,18.4026,16.16415,14.9119,CHOYP_GCSP.1.1|m.46644
29.6439,33.0003,12.64295,24.46415,28.8426,20.76545,22.50585,22.3696,16.7174,21.48055,25.1361,23.02475,CHOYP_GCST.1.1|m.16047
0,1.90065,2.2561,0,0,1.7375,1.6855,0,1.77955,0,1.7887,1.80445,CHOYP_GD1L1.1.1|m.11963
0,0,0,0,0,1.16055,0,0,0,0,0,0,CHOYP_GDAP2.1.1|m.57049
7.29825,5.0611,4.69435,4.2309,4.094,4.3156,6.1571,5.0333,4.31465,3.00285,6.51645,2.61545,CHOYP_GDE.1.1|m.54948
261.33375,302.5395,265.40225,223.7161,189.6847,186.25985,171.94155,186.3178,175.9173,222.0647,166.17095,243.6469,CHOYP_GELS2.2.2|m.30443
1.2771,0,0,0.62755,0,0,0,2.55585,1.26765,0.7566,1.79565,0.67065,CHOYP_GEMIN5.2.2|m.59078
1.086,0,3.73185,3.7393,1.80615,2.8579,3.6384,4.11935,3.86175,3.4155,3.8539,0,CHOYP_AMDHD2.2.2|m.52160
7.8911,5.32545,7.4599,8.79885,10.8289,10.6245,11.6557,7.0566,9.05725,4.8629,9.1193,8.48405,CHOYP_GEPH.1.2|m.49093
0,0,0,0,1.3773,0.77925,0.75275,0.82455,0.76545,0,0.7971,0,CHOYP_GFM2.1.1|m.18396
10.0406,10.1559,7.3963,7.36645,5.34165,7.51395,10.75145,6.1142,7.53615,2.30015,3.79615,13.671,CHOYP_GGPPS.1.1|m.12124
26.2431,28.1051,15.0475,25.434,0,30.2711,30.35515,29.63955,33.2751,20.59935,36.38335,16.4661,CHOYP_GIGA2.1.1|m.44916
1.63705,2.4739,2.99075,3.73485,0,0,0,2.4628,1.5317,2.73515,0.83455,3.96615,CHOYP_GIGA3.1.1|m.42774
52.0201,49.1455,50.57975,53.7187,50.4772,56.5204,64.6935,69.90085,58.24095,55.80895,66.81215,63.7549,CHOYP_GIPC1.1.1|m.60630
11.4594,6.61795,4.9838,14.26515,6.51055,6.10885,9.4981,10.6646,5.3174,6.3671,6.90525,11.90235,CHOYP_GIT1.1.2|m.26059
1.28195,4.89035,3.00625,3.3226,2.14775,4.53555,0,1.2578,0,0,0,0,CHOYP_GLCM.2.3|m.40511
42.8227,50.87545,42.90105,62.2306,0,0,8.95955,22.7889,35.37035,27.9894,40.4535,46.37335,CHOYP_GLIPR1L1.1.1|m.41745
3.4515,6.76935,8.17165,15.31285,17.7904,6.2616,17.9974,23.7154,12.56025,22.35485,12.76015,3.31195,CHOYP_GLO1.1.1|m.32382
0,0,0,0,0,0,0,1.5231,0,0,0,0,CHOYP_AMO.1.5|m.28337
35.9507,32.7835,27.0056,31.14485,31.6494,28.65475,30.45095,37.68305,28.92145,26.54755,41.7135,34.7239,CHOYP_GLRX3.1.1|m.63529
29.0725,42.5924,30.1169,33.238,41.14715,29.86685,38.86065,32.3051,36.7468,30.7785,39.72145,25.39645,CHOYP_GMDS.1.1|m.28602
19.709,15.9901,29.03075,25.4032,24.5877,25.96325,21.12725,48.04995,22.16965,30.9574,29.8434,15.4321,CHOYP_GMFB.2.2|m.54955
17.6655,16.4631,19.8286,21.0924,13.1838,21.53945,21.77615,24.65635,24.1084,21.13355,19.3445,21.05205,CHOYP_GMPAA.1.1|m.1432
25.06175,31.6547,28.6516,37.27885,30.4908,26.3391,29.37705,31.57385,35.23385,34.8959,42.81665,30.4331,CHOYP_GMPR2.1.1|m.63274
6.7494,6.8213,4.10865,9.22545,11.91895,6.2876,0,5.0769,6.3152,1.9356,4.7449,4.9121,CHOYP_GNAI.1.1|m.26096
6.8065,6.87895,2.1194,3.1126,3.0068,1.642,6.05715,1.788,3.1738,1.95155,1.68095,1.69575,CHOYP_GNAO.1.1|m.37355
0,3.44915,10.38995,10.90755,15.0766,7.9642,12.18835,1.7457,11.14615,5.6834,3.32115,0,CHOYP_GNAQ.1.1|m.20698
37.71795,54.5094,55.8224,49.2472,23.82645,28.9283,33.5983,42.13385,41.51395,42.0136,30.59,44.4628,CHOYP_GNBPB3.1.1|m.55379
23.55945,30.45765,31.4186,35.34695,43.699,46.132,45.9638,41.24225,46.30095,35.84655,34.41475,29.2011,CHOYP_GNPI2.1.1|m.55897
0,2.73775,0,0,0,2.5618,0,0,0,0,0,2.6466,CHOYP_AMO.5.5|m.66428
1.13665,1.83435,0,1.0809,1.40825,1.70125,1.01165,0.74845,1.48895,1.0115,2.36,1.5488,CHOYP_GOGB1.1.2|m.26408
2.119,4.2396,7.66375,7.67335,5.62355,11.7405,5.62415,6.3689,3.92505,2.3939,2.0604,2.0887,CHOYP_GOLGA4.1.3|m.4761
27.29255,21.45015,22.1187,23.5547,22.7362,25.43105,20.1918,18.3047,21.16775,20.2194,20.0276,17.6221,CHOYP_GPDA.1.2|m.6967
6.193,4.1959,0,1.96955,0,7.75735,1.8731,2.1702,0,0,2.03965,6.0431,CHOYP_GPM6A.1.1|m.41817
69.69535,92.38125,84.9686,77.0638,76.5483,71.85895,70.5365,77.3949,67.4694,58.8781,67.9054,79.3831,CHOYP_GPMA.1.1|m.35689
0,0,0,0,1.82465,1.86915,1.783,0,0.96955,0,0.97845,0,CHOYP_GPSM2.1.1|m.58301
0,3.9769,9.55125,7.1751,13.86265,7.3187,6.98145,4.0564,7.3404,8.724,3.8097,3.84375,CHOYP_GPX3.1.2|m.24838
0,0,0,0,0.7056,0,0,0,0,0,0,0,CHOYP_GR101.3.3|m.43507
0.8106,1.55245,0,0,0,0,0,1.51215,1.40425,0.88035,0.76925,0.7794,CHOYP_GRAP1.1.1|m.45768
2.5117,3.8197,6.116,3.45855,3.32595,3.51145,4.44115,3.77865,3.5029,5.58625,5.8992,2.43535,CHOYP_GRIA3.1.1|m.44173
0,0,2.09635,1.57195,1.5404,1.6153,2.99485,1.7686,3.1488,1.91195,1.60945,0,CHOYP_AMRP.1.1|m.36070
0,1.11655,0,0,0.9889,0,1.01055,1.1087,1.0279,0,2.02475,2.06595,CHOYP_GRK5.1.1|m.6617
