protein_ID,ASCA_PC1_loadings,ASCA_PC2_loadings,ASCA_PC_threshold_pass,ClusterID,ClusterColor,Protein_names,Protein_fams,Gene_names,GO_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_LOC494408.1.1.m.29208,-0.046327575358633,-0.0211080117453247,Yes,5,darkslategray1,Peptidase inhibitor 16 (PI-16) (Cysteine-rich protease inhibitor) (CD antigen CD364),CRISP family,Pi16 Cripi,GO:0005615; GO:0030414; GO:0061052,GO:0061052,cell differentiation; growth; anatomical structure development
CHOYP_RFOX2.1.2.m.24118,-0.0352304624894945,-0.00787984664213326,Yes,5,darkslategray1,RNA binding protein fox-1 homolog 2 (Fox-1 homolog B) (Hexaribonucleotide-binding protein 2) (RNA-binding motif protein 9) (RNA-binding protein 9) (Repressor of tamoxifen transcriptional activity),,RBFOX2 FOX2 HRNBP2 RBM9 RTA,GO:0000381; GO:0003714; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006397; GO:0007399; GO:0008134; GO:0008380; GO:0008543; GO:0010724; GO:0016070; GO:0021942; GO:0030520; GO:0042127; GO:0045892; GO:0048813; GO:0050885,GO:0050885,nervous system process
CHOYP_LOC664138.1.1.m.26660,-0.0475875109759108,-0.0205152576049977,Yes,5,darkslategray1,Protein lin-28 homolog,Lin-28 family,lin-28 CG17334,GO:0003677; GO:0003729; GO:0005829; GO:0006355; GO:0008270; GO:0046628; GO:0048477; GO:0098724; GO:2000632; GO:2000648,GO:0046628; GO:2000648,signal transduction; cell proliferation
CHOYP_CNOT1.1.1.m.12106,-0.00961709306895342,-0.0475107303069603,Yes,5,darkslategray1,High mobility group protein B3 (High mobility group protein 2a) (HMG-2a) (High mobility group protein 4) (HMG-4),HMGB family,Hmgb3 Hmg2a Hmg4,GO:0000400; GO:0000790; GO:0003677; GO:0003723; GO:0005634; GO:0005737; GO:0006310; GO:0006338; GO:0006357; GO:0008134; GO:0008301; GO:0032392; GO:0045087; GO:0045089; GO:0045578; GO:0045638; GO:0045944,GO:0045638,immune system process; cell differentiation; anatomical structure development
CHOYP_VOLCADRAFT_89567.1.1.m.27272,-0.0505330074307289,0.000909000649671939,Yes,5,darkslategray1,Heme-binding protein 2 (Placental protein 23) (PP23) (Protein SOUL),HEBP family,HEBP2 C6orf34 SOUL,GO:0005576; GO:0005737; GO:0005739; GO:0010917; GO:0010940; GO:0020037; GO:0035578; GO:0035794; GO:0043312; GO:0070062,GO:0035794,transport; mitochondrion organization; membrane organization
CHOYP_BRAFLDRAFT_127065.5.7.m.28848,-0.0445295432238924,0.00529448058352249,Yes,5,darkslategray1,Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3),,Tgfbi,GO:0001525; GO:0002062; GO:0005178; GO:0005201; GO:0005518; GO:0005604; GO:0005615; GO:0005802; GO:0007155; GO:0008283; GO:0030198; GO:0031012; GO:0050839; GO:0050840; GO:0062023,GO:0030198,extracellular matrix organization
CHOYP_PHUM_PHUM184790.1.1.m.41715,-0.0376366679346238,-0.019596287441721,Yes,5,darkslategray1,Peroxidasin homolog (EC 1.11.1.7) (Melanoma-associated antigen MG50) (Vascular peroxidase 1) (p53-responsive gene 2 protein),Peroxidase family; XPO subfamily,PXDN KIAA0230 MG50 PRG2 VPO VPO1,GO:0004601; GO:0005152; GO:0005201; GO:0005576; GO:0005615; GO:0005783; GO:0006955; GO:0006979; GO:0020037; GO:0030198; GO:0042744; GO:0046872; GO:0055114; GO:0062023; GO:0070062,GO:0030198,extracellular matrix organization
CHOYP_CYTA.1.1.m.10540,-0.039063337565365,-0.0248598115993259,Yes,5,darkslategray1,Cystatin-A (Cystatin-AS) (Stefin-A) [Cleaved into: Cystatin-A; N-terminally processed],Cystatin family,CSTA STF1 STFA,GO:0001533; GO:0002020; GO:0004869; GO:0005198; GO:0005615; GO:0005634; GO:0005737; GO:0005829; GO:0010466; GO:0018149; GO:0030216; GO:0030674; GO:0045861; GO:0070268; GO:0098609,GO:0018149,cellular protein modification process
CHOYP_LOC101067698.2.2.m.27457,-0.0481360358615132,-0.0203987079903456,Yes,5,darkslategray1,Cystatin-A3 (VSA745),Cystatin family,cpiC DDB_G0277001,GO:0004869; GO:0005829; GO:0006508; GO:0006972,GO:0006972,response to stress
CHOYP_LOC100372473.3.5.m.39839,-0.0360902058057691,0.0214380502962844,Yes,5,darkslategray1,Alpha-protein kinase vwkA (EC 2.7.11.1) (von Willebrand factor A alpha-kinase) (vWF kinase),Protein kinase superfamily; Alpha-type protein kinase family; ALPK subfamily,vwkA DDB_G0268144,GO:0000281; GO:0000331; GO:0004672; GO:0004674; GO:0005516; GO:0005524; GO:0005737; GO:0005829; GO:0006468; GO:0006971; GO:0018107; GO:0018209; GO:0031038; GO:0031156; GO:0031164; GO:0031288; GO:0033298; GO:0048471; GO:0070177,GO:0006971; GO:0031038; GO:0031156,response to stress; cytoskeleton organization; anatomical structure development
