"Supplemental Table 4. ASCA time effect scores, clustering, and GO enrichment analysis results. ",,,,,,,,,,,,,
protein_ID,ASCA_PC1_loadings,ASCA_PC2_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_BRAFLDRAFT_284508.1.1.m.4587,-0.036930376,-0.014554051,Yes,purple,purple,Q9NR33,DNA polymerase epsilon subunit 4 (EC 2.7.7.7) (DNA polymerase II subunit 4) (DNA polymerase epsilon subunit p12),,POLE4,Ada2/Gcn5/Ada3 transcription activator complex [GO:0005671]; epsilon DNA polymerase complex [GO:0008622]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; protein heterodimerization activity [GO:0046982]; G1/S transition of mitotic cell cycle [GO:0000082]; histone H3 acetylation [GO:0043966],GO:0000082; GO:0003677; GO:0003887; GO:0005634; GO:0005654; GO:0005671; GO:0008622; GO:0043966; GO:0046982,GO:0043966,cellular protein modification process; chromosome organization
CHOYP_LOC100372607.1.1.m.49009,-0.038050657,-0.009515697,Yes,purple,purple,Q32KV4,Cytoplasmic dynein 2 light intermediate chain 1,Dynein light intermediate chain family,DYNC2LI1,apical part of cell [GO:0045177]; axoneme [GO:0005930]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; ciliary transition zone [GO:0035869]; cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; intraciliary transport particle [GO:0030990]; microtubule [GO:0005874]; motile cilium [GO:0031514]; ATP-dependent microtubule motor activity; minus-end-directed [GO:0008569]; dynein heavy chain binding [GO:0045504]; determination of left/right symmetry [GO:0007368]; intraciliary retrograde transport [GO:0035721]; intraciliary transport involved in cilium assembly [GO:0035735]; regulation of cilium assembly [GO:1902017],GO:0005737; GO:0005813; GO:0005868; GO:0005874; GO:0005930; GO:0007368; GO:0008569; GO:0030990; GO:0031514; GO:0035721; GO:0035735; GO:0035869; GO:0036064; GO:0045177; GO:0045504; GO:1902017,GO:0035721; GO:0035735; GO:1902017,transport; cellular component assembly; cytoskeleton-dependent intracellular transport
CHOYP_THTR.1.1.m.25924,-0.02511937,0.036503054,Yes,purple,purple,Q95KV7,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Cell death regulatory protein GRIM-19) (Complex I-B16.6) (CI-B16.6) (Gene associated with retinoic-interferon-induced mortality 19 protein) (GRIM-19) (NADH-ubiquinone oxidoreductase B16.6 subunit),Complex I NDUFA13 subunit family,NDUFA13 GRIM19,cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; mitochondrial respirasome [GO:0005746]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; apoptotic signaling pathway [GO:0097190]; cellular response to interferon-beta [GO:0035458]; cellular response to retinoic acid [GO:0071300]; extrinsic apoptotic signaling pathway [GO:0097191]; mitochondrial respiratory chain complex I assembly [GO:0032981]; negative regulation of cell growth [GO:0030308]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; negative regulation of transcription; DNA-templated [GO:0045892]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of protein catabolic process [GO:0045732]; protein import into mitochondrial inner membrane [GO:0045039]; reactive oxygen species metabolic process [GO:0072593],GO:0005654; GO:0005737; GO:0005739; GO:0005746; GO:0005747; GO:0008137; GO:0016021; GO:0030308; GO:0032981; GO:0035458; GO:0043280; GO:0045039; GO:0045732; GO:0045892; GO:0071300; GO:0072593; GO:0097190; GO:0097191; GO:2001243,GO:0032981; GO:0043280; GO:0071300; GO:2001243,mitochondrion organization; signal transduction; cell death; cellular component assembly; protein-containing complex assembly
CHOYP_LAMC1.1.1.m.36098,-0.03796452,0.01692219,Yes,purple,purple,P11047,Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma),,LAMC1 LAMB2,basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; laminin-1 complex [GO:0005606]; laminin-10 complex [GO:0043259]; laminin-11 complex [GO:0043260]; extracellular matrix structural constituent [GO:0005201]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; cellular protein metabolic process [GO:0044267]; endoderm development [GO:0007492]; extracellular matrix disassembly [GO:0022617]; extracellular matrix organization [GO:0030198]; hemidesmosome assembly [GO:0031581]; positive regulation of epithelial cell proliferation [GO:0050679]; post-translational protein modification [GO:0043687]; protein-containing complex assembly [GO:0065003]; substrate adhesion-dependent cell spreading [GO:0034446],GO:0005201; GO:0005576; GO:0005604; GO:0005606; GO:0005615; GO:0005788; GO:0007155; GO:0007492; GO:0016477; GO:0022617; GO:0030198; GO:0031581; GO:0034446; GO:0043259; GO:0043260; GO:0043687; GO:0044267; GO:0050679; GO:0062023; GO:0065003; GO:0070062,GO:0007492; GO:0022617; GO:0031581,cellular component assembly; extracellular matrix organization; cell junction organization; anatomical structure development
CHOYP_ATS6.3.3.m.56109,-0.040906661,0.009634764,Yes,purple,purple,Q69Z28,A disintegrin and metalloproteinase with thrombospondin motifs 16 (ADAM-TS 16) (ADAM-TS16) (ADAMTS-16) (EC 3.4.24.-),,Adamts16 Kiaa2029,extracellular region [GO:0005576]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; branching involved in ureteric bud morphogenesis [GO:0001658]; male gamete generation [GO:0048232]; regulation of cilium assembly [GO:1902017]; regulation of systemic arterial blood pressure [GO:0003073],GO:0001658; GO:0003073; GO:0004222; GO:0005576; GO:0046872; GO:0048232; GO:1902017,GO:0001658; GO:0003073; GO:1902017,circulatory system process; cellular component assembly; anatomical structure development
CHOYP_EXOS3.1.1.m.10596,-0.03550834,0.006687339,Yes,purple,purple,Q9NQT5,Exosome complex component RRP40 (Exosome component 3) (Ribosomal RNA-processing protein 40) (p10),RRP40 family,EXOSC3 RRP40 CGI-102,cytoplasm [GO:0005737]; cytoplasmic exosome (RNase complex) [GO:0000177]; cytosol [GO:0005829]; exosome (RNase complex) [GO:0000178]; nuclear exosome (RNase complex) [GO:0000176]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcriptionally active chromatin [GO:0035327]; 3'-5'-exoribonuclease activity [GO:0000175]; RNA binding [GO:0003723]; CUT catabolic process [GO:0071034]; DNA deamination [GO:0045006]; exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay [GO:0043928]; exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA; 5.8S rRNA; LSU-rRNA) [GO:0000467]; isotype switching [GO:0045190]; nuclear polyadenylation-dependent rRNA catabolic process [GO:0071035]; nuclear polyadenylation-dependent tRNA catabolic process [GO:0071038]; nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription [GO:0071049]; nuclear-transcribed mRNA catabolic process; exonucleolytic; 3'-5' [GO:0034427]; polyadenylation-dependent snoRNA 3'-end processing [GO:0071051]; positive regulation of isotype switching [GO:0045830]; regulation of mRNA stability [GO:0043488]; rRNA processing [GO:0006364]; U4 snRNA 3'-end processing [GO:0034475],GO:0000175; GO:0000176; GO:0000177; GO:0000178; GO:0000467; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006364; GO:0034427; GO:0034475; GO:0035327; GO:0043488; GO:0043928; GO:0045006; GO:0045190; GO:0045830; GO:0071034; GO:0071035; GO:0071038; GO:0071049; GO:0071051,GO:0000467; GO:0034427; GO:0034475; GO:0043928; GO:0071035; GO:0071038; GO:0071051,tRNA metabolic process; catabolic process; cellular nitrogen compound metabolic process; nucleobase-containing compound catabolic process; ribosome biogenesis
CHOYP_CLEC10A.3.3.m.27236,-0.036528734,0.020270652,Yes,purple,purple,P82596,Perlucin,,,carbohydrate binding [GO:0030246],GO:0030246,NA,NA
CHOYP_LOC100377801.1.1.m.10929,-0.036073745,0.018975331,Yes,purple,purple,Q1RML7,Protein MAK16 homolog,MAK16 family,MAK16,nucleolus [GO:0005730]; preribosome; large subunit precursor [GO:0030687],GO:0005730; GO:0030687,NA,NA
CHOYP_XPF.1.1.m.14801,-0.016435271,0.035622615,Yes,purple,purple,Q6GQN4,Protein FAM32A-like,FAM32 family,fam32al fam32a zgc:91831,nucleolus [GO:0005730]; apoptotic process [GO:0006915]; cell cycle [GO:0007049],GO:0005730; GO:0006915; GO:0007049,NA,NA
CHOYP_BRAFLDRAFT_260197.1.1.m.8081,-0.027427613,0.044956958,Yes,purple,purple,O43402,ER membrane protein complex subunit 8 (Neighbor of COX4) (Protein FAM158B),EMC8/EMC9 family,EMC8 C16orf2 C16orf4 COX4AL COX4NB FAM158B NOC4,cytoplasm [GO:0005737]; cytosol [GO:0005829]; ER membrane protein complex [GO:0072546]; membrane [GO:0016020]; mitochondrion [GO:0005739]; nucleus [GO:0005634],GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0016020; GO:0072546,NA,NA
CHOYP_LOC752782.1.1.m.53937,-0.06174294,-0.00246247,Yes,purple,purple,O17320,Actin,Actin family,,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524],GO:0005524; GO:0005737; GO:0005856,NA,NA
CHOYP_BRAFLDRAFT_89746.1.2.m.29425,-0.039989848,0.025619839,Yes,purple,purple,Q9R172,Neurogenic locus notch homolog protein 3 (Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain],NOTCH family,Notch3,integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; signaling receptor activity [GO:0038023]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; Notch signaling pathway [GO:0007219]; regulation of developmental process [GO:0050793]; regulation of transcription; DNA-templated [GO:0006355]; tissue regeneration [GO:0042246]; wound healing [GO:0042060],GO:0005509; GO:0005634; GO:0005886; GO:0006355; GO:0007219; GO:0007275; GO:0016021; GO:0030154; GO:0038023; GO:0042060; GO:0042246; GO:0050793,NA,NA
CHOYP_CNDP2.4.4.m.56870,-0.039312547,0.020063651,Yes,purple,purple,Q5R432,Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2),Peptidase M20A family,CNDP2,cytoplasm [GO:0005737]; alanylglutamate dipeptidase activity [GO:0103046]; carboxypeptidase activity [GO:0004180]; cytosolic dipeptidase activity [GO:0102008]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237],GO:0004180; GO:0005737; GO:0008237; GO:0046872; GO:0102008; GO:0103046,NA,NA
CHOYP_ADAMTS16.1.1.m.28149,-0.036743572,0.00034078,Yes,purple,purple,Q8TE56,A disintegrin and metalloproteinase with thrombospondin motifs 17 (ADAM-TS 17) (ADAM-TS17) (ADAMTS-17) (EC 3.4.24.-),,ADAMTS17,extracellular region [GO:0005576]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; nucleic acid binding [GO:0003676],GO:0003676; GO:0004222; GO:0005576; GO:0046872,NA,NA
CHOYP_DSIM_GD24875.1.1.m.66201,-0.038918294,0.01271237,Yes,purple,purple,Q3T149,Heat shock protein beta-1 (HspB1) (Heat shock 27 kDa protein) (HSP 27),Small heat shock protein (HSP20) family,HSPB1 HSP27,axon cytoplasm [GO:1904115]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle [GO:0005819]; identical protein binding [GO:0042802]; protein binding involved in protein folding [GO:0044183]; protein homodimerization activity [GO:0042803]; anterograde axonal protein transport [GO:0099641]; chaperone-mediated protein folding [GO:0061077]; regulation of protein phosphorylation [GO:0001932],GO:0001932; GO:0005634; GO:0005737; GO:0005819; GO:0042802; GO:0042803; GO:0044183; GO:0061077; GO:0099641; GO:1904115,NA,NA
