protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,Protein_names,Protein_fams,Gene_names,GO_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_LOC581183.1.1.m.49767,-0.023979337425725,0.00360010266109084,Yes,wheat1,pale yellow,Tetratricopeptide repeat protein 25 (TPR repeat protein 25),,ttc25,GO:0005737; GO:0005856; GO:0032474; GO:0042995; GO:0060271; GO:0061371,GO:0060271; GO:0061371,cellular component assembly; anatomical structure development
CHOYP_LOC100368885.1.1.m.7807,-0.0246969097166161,0.000751646923614513,Yes,wheat1,pale yellow,Cilia- and flagella-associated protein 53,CFAP53 family,cfap53,GO:0003341; GO:0005930; GO:0007368; GO:0060271; GO:0060287; GO:0097546,GO:0060271; GO:0060287,cellular component assembly; anatomical structure development
CHOYP_BRAFLDRAFT_117858.3.3.m.61651,-0.0238755130298035,-0.00448479993244244,Yes,wheat1,pale yellow,Tektin-4,Tektin family,tekt4,GO:0030030; GO:0031514,GO:0030030,NA
CHOYP_LOC100372889.1.2.m.37506,-0.0239197899423855,0.00355977417532623,Yes,wheat1,pale yellow,Prolyl 4-hydroxylase subunit alpha-1 (4-PH alpha-1) (EC 1.14.11.2) (Procollagen-proline;2-oxoglutarate-4-dioxygenase subunit alpha-1),P4HA family,P4ha1 P4ha,GO:0004656; GO:0005506; GO:0005739; GO:0005783; GO:0005788; GO:0016222; GO:0016702; GO:0018401; GO:0030199; GO:0031418; GO:0042802,GO:0018401; GO:0030199,cellular protein modification process; cellular amino acid metabolic process; extracellular matrix organization; small molecule metabolic process
CHOYP_LOC100377024.2.2.m.63302,-0.0239009639627959,-0.0026251857778659,Yes,wheat1,pale yellow,Cilia- and flagella-associated protein 43,CFAP43 family,Cfap43,GO:0005930; GO:0007288; GO:0031514; GO:0097722,GO:0007288,reproduction; cytoskeleton organization; cellular component assembly; cell differentiation; locomotion; anatomical structure development; cell motility
CHOYP_BRAFLDRAFT_125670.1.1.m.9555,-0.0236507116248055,0.00740336606507943,Yes,wheat1,pale yellow,Cilia- and flagella-associated protein 54,CFAP54 family,CFAP54 C12orf55 C12orf63,GO:0005930; GO:0007283; GO:0030154; GO:0060271; GO:0060294,GO:0007283; GO:0060271; GO:0060294,reproduction; cellular component assembly; locomotion; cell motility
CHOYP_LOC100377392.3.4.m.26363,-0.0236939223830003,0.0078528430312193,Yes,wheat1,pale yellow,Protein TBATA (Protein SPATIAL) (Stromal protein associated with thymii and lymph node homolog) (Thymus; brain and testes-associated protein),TBATA family,TBATA SPATIAL,GO:0005829; GO:0007275; GO:0007283; GO:0030154,GO:0007283,reproduction
CHOYP_LOC100366451.1.1.m.10500,-0.0237483690031043,-0.000537843477151716,Yes,wheat1,pale yellow,Cilia- and flagella-associated protein 58,CFAP58 family,Cfap58,GO:0005929,NA,NA
CHOYP_LOC100372505.2.2.m.26614,-0.0239334218399212,0.00353220655200765,Yes,wheat1,pale yellow,Perlucin-like protein,,,GO:0005576; GO:0030246,NA,NA
CHOYP_NRP.1.4.m.29956,-0.0238266314169623,0.00311608116170128,Yes,wheat1,pale yellow,Asparagine-rich protein (Prism uncharacterized shell protein 1) (PUSP1),,,GO:0005576,NA,NA
